Anywhere Real Estate PE Ratio Historical Data,Anywhere Real Estate PE Ratio Historical Data,Anywhere Real Estate PE Ratio Historical Data,Anywhere Real Estate PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.89,,0.0
2024-12-31,3.3,$-1.16,0.0
2024-09-30,5.08,$-1.55,0.0
2024-06-30,3.31,$-0.46,0.0
2024-03-31,6.18,$-0.56,0.0
2023-12-31,8.11,$-0.91,0.0
2023-09-30,6.43,$-4.08,0.0
2023-06-30,6.68,$-4.75,0.0
2023-03-31,5.28,$-4.17,0.0
2022-12-31,6.39,$-2.72,0.0
2022-09-30,8.11,$1.81,4.48
2022-06-30,9.83,$2.28,4.31
2022-03-31,15.68,$2.78,5.64
2021-12-31,16.81,$2.87,5.86
2021-09-30,17.54,$2.63,6.67
2021-06-30,18.22,$2.52,7.23
2021-03-31,15.13,$1.15,13.16
2020-12-31,13.12,$-3.16,0.0
2020-09-30,9.44,$-3.70,0.0
2020-06-30,7.41,$-5.15,0.0
2020-03-31,3.01,$-4.43,0.0
2019-12-31,9.68,$-1.27,0.0
2019-09-30,6.68,$-1.07,0.0
2019-06-30,7.13,$0.37,19.28
2019-03-31,11.11,$0.73,15.22
2018-12-31,14.21,$1.09,13.03
2018-09-30,19.87,$3.17,6.27
2018-06-30,21.86,$3.03,7.21
2018-03-31,26.05,$2.85,9.14
2017-12-31,25.22,$3.16,7.98
2017-09-30,31.25,$1.67,18.71
2017-06-30,30.7,$1.71,17.95
2017-03-31,28.1,$1.56,18.01
2016-12-31,24.19,$1.47,16.46
2016-09-30,24.22,$1.13,21.44
2016-06-30,27.09,$1.14,23.77
2016-03-31,33.71,$1.17,28.82
2015-12-31,34.24,$1.24,27.61
2015-09-30,35.13,$1.32,26.62
2015-06-30,43.62,$1.26,34.62
2015-03-31,42.46,$1.06,40.06
2014-12-31,41.54,$0.96,43.27
2014-09-30,34.73,$3.00,11.58
2014-06-30,35.21,$3.06,11.51
2014-03-31,40.57,$3.17,12.8
2013-12-31,46.19,$2.97,15.55
2013-09-30,40.17,$0.79,50.84
