Groupon PE Ratio Historical Data,Groupon PE Ratio Historical Data,Groupon PE Ratio Historical Data,Groupon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,16.52,,0.0
2024-12-31,12.15,$-0.25,0.0
2024-09-30,9.78,$0.51,19.18
2024-06-30,15.3,$-1.13,0.0
2024-03-31,13.34,$-1.29,0.0
2023-12-31,12.84,$-1.91,0.0
2023-09-30,15.32,$-4.49,0.0
2023-06-30,5.91,$-5.04,0.0
2023-03-31,4.21,$-7.67,0.0
2022-12-31,8.58,$-7.89,0.0
2022-09-30,7.96,$-5.17,0.0
2022-06-30,11.3,$-0.95,0.0
2022-03-31,19.23,$1.97,9.76
2021-12-31,23.16,$3.62,6.4
2021-09-30,22.81,$3.19,7.15
2021-06-30,43.16,$0.26,166.0
2021-03-31,50.55,$-2.15,0.0
2020-12-31,38.0,$-10.16,0.0
2020-09-30,20.4,$-8.03,0.0
2020-06-30,18.12,$-8.06,0.0
2020-03-31,19.6,$-6.93,0.0
2019-12-31,47.8,$-0.80,0.0
2019-09-30,53.2,$-1.80,0.0
2019-06-30,71.6,$0.40,179.0
2019-03-31,71.0,$-1.60,0.0
2018-12-31,64.0,$-0.40,0.0
2018-09-30,75.4,$-0.40,0.0
2018-06-30,86.0,$-2.00,0.0
2018-03-31,86.8,$1.00,86.8
2017-12-31,102.0,$0.40,255.0
2017-09-30,104.0,$-3.00,0.0
2017-06-30,76.8,$-4.40,0.0
2017-03-31,78.6,$-6.00,0.0
2016-12-31,66.4,$-6.80,0.0
2016-09-30,103.0,$-6.60,0.0
2016-06-30,65.0,$-6.00,0.0
2016-03-31,79.8,$-0.80,0.0
2015-12-31,61.4,$0.40,153.5
2015-09-30,65.2,$2.20,29.64
2015-06-30,100.6,$2.40,41.92
2015-03-31,144.2,$-1.40,0.0
2014-12-31,165.2,$-2.20,0.0
2014-09-30,133.6,$-4.80,0.0
2014-06-30,132.4,$-4.20,0.0
2014-03-31,156.8,$-3.80,0.0
2013-12-31,235.3,$-2.80,0.0
2013-09-30,224.22,$-2.80,0.0
2013-06-30,171.0,$-2.80,0.0
2013-03-31,122.4,$-1.80,0.0
2012-12-31,97.2,$-2.00,0.0
2012-09-30,95.3,$-1.20,0.0
