PennantPark Floating Rate Capital PE Ratio Historical Data,PennantPark Floating Rate Capital PE Ratio Historical Data,PennantPark Floating Rate Capital PE Ratio Historical Data,PennantPark Floating Rate Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.12,,7.94
2024-12-31,10.93,$1.40,7.81
2024-09-30,11.26,$1.43,7.87
2024-06-30,10.93,$1.62,6.75
2024-03-31,10.49,$1.48,7.09
2023-12-31,10.86,$1.12,9.7
2023-09-30,9.31,$0.70,13.3
2023-06-30,9.04,$-0.12,0.0
2023-03-31,8.76,$-0.35,0.0
2022-12-31,8.82,$-0.32,0.0
2022-09-30,7.52,$0.09,83.51
2022-06-30,8.78,$0.54,16.25
2022-03-31,10.09,$1.04,9.7
2021-12-31,9.33,$1.16,8.04
2021-09-30,9.14,$1.46,6.26
2021-06-30,8.9,$1.78,5.0
2021-03-31,8.12,$1.72,4.72
2020-12-31,7.03,$0.88,7.99
2020-09-30,5.47,$0.47,11.63
2020-06-30,5.26,$0.22,23.92
2020-03-31,2.93,$0.02,146.44
2019-12-31,7.1,$0.42,16.91
2019-09-30,6.6,$0.29,22.77
2019-06-30,6.42,$0.39,16.47
2019-03-31,6.95,$0.40,17.38
2018-12-31,6.14,$0.94,6.53
2018-09-30,6.82,$0.86,7.94
2018-06-30,6.94,$0.91,7.63
2018-03-31,6.51,$1.07,6.09
2017-12-31,6.68,$0.92,7.26
2017-09-30,6.91,$1.20,5.76
2017-06-30,6.6,$1.46,4.52
2017-03-31,6.39,$1.67,3.83
2016-12-31,6.34,$1.51,4.2
2016-09-30,5.82,$1.25,4.65
2016-06-30,5.33,$0.72,7.41
2016-03-31,4.92,$0.54,9.1
2015-12-31,4.6,$0.86,5.35
2015-09-30,4.77,$0.82,5.81
2015-06-30,5.42,$0.91,5.96
2015-03-31,5.37,$0.92,5.84
2014-12-31,5.15,$1.00,5.15
2014-09-30,5.07,$1.38,3.67
2014-06-30,5.16,$1.23,4.19
2014-03-31,4.89,$1.05,4.66
2013-12-31,4.77,$1.01,4.72
2013-09-30,4.69,$0.86,5.46
2013-06-30,4.72,$1.44,3.28
2013-03-31,4.58,$1.35,3.39
2012-12-31,4.09,$1.56,2.62
2012-09-30,4.0,$1.50,2.67
2012-06-30,3.69,$0.92,4.01
2012-03-31,3.57,$0.76,4.7
