Korro Bio PE Ratio Historical Data,Korro Bio PE Ratio Historical Data,Korro Bio PE Ratio Historical Data,Korro Bio PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,21.9,,0.0
2024-12-31,38.07,$-7.13,0.0
2024-09-30,33.42,$-7.13,0.0
2024-06-30,33.87,$-4.87,0.0
2024-03-31,90.0,$-17.44,0.0
2023-12-31,47.93,$-42.50,0.0
2023-09-30,18.5,$-67.00,0.0
2023-06-30,17.3,$-94.50,0.0
2023-03-31,25.15,$-110.00,0.0
2022-12-31,192.5,$-116.00,0.0
2022-09-30,89.5,$-122.50,0.0
2022-06-30,75.0,$-131.50,0.0
2022-03-31,106.0,$-127.00,0.0
2021-12-31,256.5,$-123.50,0.0
2021-09-30,353.0,$-107.50,0.0
2021-06-30,498.0,$-79.00,0.0
2021-03-31,475.0,$-62.50,0.0
2020-12-31,1763.0,$-40.50,0.0
2020-09-30,960.5,$-35.00,0.0
