BP Prudhoe Bay Royalty Trust PE Ratio Historical Data,BP Prudhoe Bay Royalty Trust PE Ratio Historical Data,BP Prudhoe Bay Royalty Trust PE Ratio Historical Data,BP Prudhoe Bay Royalty Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.58,,inf
2024-09-30,1.08,0,0.0
2024-06-30,2.47,0,0.0
2024-03-31,2.43,0,0.0
2023-12-31,2.47,$0.30,8.23
2023-09-30,7.15,$1.00,7.15
2023-06-30,4.56,$2.40,1.9
2023-03-31,7.64,$3.49,2.19
2022-12-31,11.4,$3.77,3.02
2022-09-30,11.08,$3.07,3.61
2022-06-30,17.48,$1.69,10.34
2022-03-31,11.94,$0.60,19.9
2021-12-31,2.82,$0.02,141.11
2021-09-30,2.89,$0.02,144.56
2021-06-30,3.58,0,0.0
2021-03-31,2.62,0,0.0
2020-12-31,1.67,$0.42,3.97
2020-09-30,1.04,$0.75,1.38
2020-06-30,2.33,$1.30,1.8
2020-03-31,3.7,$1.65,2.24
2019-12-31,4.59,$2.23,2.06
2019-09-30,5.9,$3.28,1.8
2019-06-30,9.58,$4.14,2.31
2019-03-31,16.2,$5.06,3.2
2018-12-31,12.66,$5.29,2.39
2018-09-30,19.36,$4.58,4.23
2018-06-30,16.06,$4.00,4.02
2018-03-31,12.14,$3.83,3.17
2017-12-31,9.69,$3.59,2.7
2017-09-30,10.5,$3.60,2.92
2017-06-30,9.7,$3.46,2.8
2017-03-31,8.59,$2.43,3.53
2016-12-31,9.82,$2.04,4.81
2016-09-30,7.47,$2.06,3.63
2016-06-30,7.12,$2.84,2.51
2016-03-31,5.41,$3.77,1.43
2015-12-31,9.31,$5.86,1.59
2015-09-30,15.1,$7.19,2.1
2015-06-30,22.13,$8.75,2.53
2015-03-31,20.54,$10.76,1.91
2014-12-31,23.03,$10.60,2.17
2014-09-30,31.31,$10.74,2.92
2014-06-30,31.86,$9.85,3.23
2014-03-31,26.25,$9.25,2.84
2013-12-31,23.97,$9.04,2.65
2013-09-30,25.45,$8.69,2.93
2013-06-30,27.64,$8.86,3.12
2013-03-31,23.28,$9.09,2.56
2012-12-31,18.55,$9.29,2.0
2012-09-30,24.9,$9.43,2.64
2012-06-30,30.32,$9.76,3.11
2012-03-31,31.87,$9.51,3.35
2011-12-31,28.42,$9.40,3.02
2011-09-30,25.81,$9.46,2.73
2011-06-30,26.73,$8.92,3.0
2011-03-31,28.09,$8.80,3.19
2010-12-31,29.12,$10.00,2.91
2010-09-30,23.33,$9.71,2.4
2010-06-30,19.68,$9.26,2.13
2010-03-31,21.33,$7.98,2.67
2009-12-31,17.16,$6.01,2.86
