Safety Insurance PE Ratio Historical Data,Safety Insurance PE Ratio Historical Data,Safety Insurance PE Ratio Historical Data,Safety Insurance PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,77.13,,16.17
2024-12-31,82.4,$4.77,17.27
2024-09-30,80.93,$5.05,16.03
2024-06-30,73.48,$3.45,21.3
2024-03-31,79.55,$3.47,22.93
2023-12-31,72.76,$1.27,57.29
2023-09-30,64.53,$2.11,30.58
2023-06-30,67.0,$2.40,27.92
2023-03-31,68.76,$1.78,38.63
2022-12-31,76.89,$3.15,24.41
2022-09-30,73.71,$3.62,20.36
2022-06-30,86.88,$4.84,17.95
2022-03-31,80.51,$6.80,11.84
2021-12-31,74.55,$8.69,8.58
2021-09-30,68.68,$10.10,6.8
2021-06-30,67.1,$11.42,5.88
2021-03-31,71.46,$11.71,6.1
2020-12-31,65.35,$9.16,7.13
2020-09-30,57.24,$7.43,7.7
2020-06-30,62.4,$5.48,11.39
2020-03-31,68.28,$4.38,15.59
2019-12-31,73.99,$6.46,11.45
2019-09-30,80.28,$5.83,13.77
2019-06-30,74.67,$6.70,11.15
2019-03-31,67.81,$6.77,10.02
2018-12-31,63.09,$5.42,11.64
2018-09-30,68.48,$4.95,13.83
2018-06-30,64.73,$4.25,15.23
2018-03-31,57.72,$3.89,14.84
2017-12-31,59.71,$4.08,14.64
2017-09-30,56.12,$4.15,13.52
2017-06-30,49.68,$4.20,11.83
2017-03-31,50.45,$4.22,11.96
2016-12-31,52.53,$4.27,12.3
2016-09-30,47.44,$4.17,11.38
2016-06-30,43.01,$3.74,11.5
2016-03-31,39.38,$2.26,17.43
2015-12-31,38.43,$-0.95,0.0
2015-09-30,36.46,$-0.95,0.0
2015-06-30,38.34,$-0.72,0.0
2015-03-31,39.21,$0.75,52.29
2014-12-31,41.52,$3.91,10.62
2014-09-30,34.56,$3.98,8.68
2014-06-30,32.53,$4.09,7.95
2014-03-31,33.7,$3.86,8.73
2013-12-31,34.86,$3.98,8.76
2013-09-30,32.45,$3.84,8.45
2013-06-30,29.37,$3.64,8.07
2013-03-31,29.43,$3.58,8.22
2012-12-31,27.29,$3.80,7.18
2012-09-30,26.76,$3.49,7.67
2012-06-30,23.4,$3.13,7.48
2012-03-31,23.68,$2.29,10.34
2011-12-31,22.76,$0.90,25.28
2011-09-30,21.0,$1.45,14.48
2011-06-30,23.05,$1.90,12.13
2011-03-31,25.0,$2.63,9.51
2010-12-31,25.61,$3.74,6.85
2010-09-30,22.31,$3.56,6.27
2010-06-30,19.41,$3.64,5.33
2010-03-31,19.54,$3.60,5.43
2009-12-31,18.59,$3.48,5.34
