WSFS Financial PE Ratio Historical Data,WSFS Financial PE Ratio Historical Data,WSFS Financial PE Ratio Historical Data,WSFS Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,51.68,,11.69
2024-12-31,53.13,$4.42,12.02
2024-09-30,50.85,$4.38,11.61
2024-06-30,46.73,$4.52,10.34
2024-03-31,44.74,$4.48,9.99
2023-12-31,45.36,$4.40,10.31
2023-09-30,35.9,$4.72,7.61
2023-06-30,36.97,$4.66,7.93
2023-03-31,36.69,$4.48,8.19
2022-12-31,44.1,$3.53,12.49
2022-09-30,45.04,$3.34,13.48
2022-06-30,38.74,$3.32,11.67
2022-03-31,44.91,$4.39,10.23
2021-12-31,48.16,$5.69,8.46
2021-09-30,49.18,$5.71,8.61
2021-06-30,44.52,$5.58,7.98
2021-03-31,47.46,$3.43,13.84
2020-12-31,42.67,$2.28,18.72
2020-09-30,25.55,$1.96,13.03
2020-06-30,27.07,$1.97,13.74
2020-03-31,23.4,$2.79,8.39
2019-12-31,41.18,$2.91,14.15
2019-09-30,41.17,$2.96,13.91
2019-06-30,38.56,$3.14,12.28
2019-03-31,36.04,$3.35,10.76
2018-12-31,35.3,$4.18,8.45
2018-09-30,43.79,$3.23,13.56
2018-06-30,49.4,$2.67,18.5
2018-03-31,44.3,$2.42,18.31
2017-12-31,44.17,$1.85,23.88
2017-09-30,44.92,$2.43,18.49
2017-06-30,41.72,$2.20,18.96
2017-03-31,42.21,$2.14,19.72
2016-12-31,42.51,$2.07,20.54
2016-09-30,33.4,$1.97,16.95
2016-06-30,29.42,$2.07,14.21
2016-03-31,29.66,$1.92,15.45
2015-12-31,29.45,$1.85,15.95
2015-09-30,26.18,$1.83,14.33
2015-06-30,24.81,$1.73,14.37
2015-03-31,22.82,$1.76,12.97
2014-12-31,23.15,$1.93,12.0
2014-09-30,21.52,$1.93,11.13
2014-06-30,22.1,$2.04,10.85
2014-03-31,21.39,$1.96,10.92
2013-12-31,23.18,$1.68,13.77
2013-09-30,17.98,$1.50,11.99
2013-06-30,15.61,$1.34,11.65
2013-03-31,14.46,$1.21,11.98
2012-12-31,12.52,$1.09,11.52
2012-09-30,12.2,$1.04,11.77
2012-06-30,11.91,$0.92,12.99
2012-03-31,12.05,$0.84,14.29
2011-12-31,10.54,$0.75,13.99
2011-09-30,9.22,$0.59,15.54
2011-06-30,11.54,$0.67,17.22
2011-03-31,13.67,$0.61,22.41
2010-12-31,13.73,$0.47,29.22
2010-09-30,10.82,$0.39,27.76
2010-06-30,10.34,$0.05,206.71
2010-03-31,11.19,$-0.24,0.0
2009-12-31,7.32,$-0.10,0.0
