Whirlpool PE Ratio Historical Data,Whirlpool PE Ratio Historical Data,Whirlpool PE Ratio Historical Data,Whirlpool PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,94.15,,0.0
2024-12-31,114.48,$-5.86,0.0
2024-09-30,105.36,$10.14,10.39
2024-06-30,98.91,$9.67,10.23
2024-03-31,113.61,$7.26,15.65
2023-12-31,113.79,$8.71,13.06
2023-09-30,123.02,$-29.54,0.0
2023-06-30,135.14,$-28.47,0.0
2023-03-31,118.35,$-36.64,0.0
2022-12-31,125.22,$-28.04,0.0
2022-09-30,117.94,$6.21,18.99
2022-06-30,134.1,$11.12,12.06
2022-03-31,148.09,$26.89,5.51
2021-12-31,199.37,$28.37,7.03
2021-09-30,172.16,$31.24,5.51
2021-06-30,182.95,$30.00,6.1
2021-03-31,183.82,$21.40,8.59
2020-12-31,149.58,$17.00,8.8
2020-09-30,151.41,$13.75,11.01
2020-06-30,105.94,$13.05,8.12
2020-03-31,69.4,$13.54,5.13
2019-12-31,118.25,$18.44,6.41
2019-09-30,125.93,$16.56,7.6
2019-06-30,112.22,$14.21,7.9
2019-03-31,103.8,$3.67,28.28
2018-12-31,82.8,$-2.34,0.0
2018-09-30,91.08,$-8.67,0.0
2018-06-30,111.15,$-8.17,0.0
2018-03-31,115.56,$3.85,30.02
2017-12-31,126.41,$4.56,27.72
2017-09-30,137.33,$10.61,12.94
2017-06-30,141.75,$9.99,14.19
2017-03-31,125.98,$11.62,10.84
2016-12-31,132.91,$11.53,11.53
2016-09-30,117.84,$11.45,10.29
2016-06-30,120.44,$11.30,10.66
2016-03-31,129.56,$9.36,13.84
2015-12-31,104.89,$9.82,10.68
2015-09-30,104.58,$8.56,12.22
2015-06-30,122.24,$8.49,14.4
2015-03-31,142.05,$8.53,16.65
2014-12-31,135.72,$8.17,16.61
2014-09-30,101.61,$9.41,10.8
2014-06-30,96.65,$8.95,10.8
2014-03-31,103.22,$9.14,11.29
2013-12-31,107.86,$10.24,10.53
2013-09-30,100.26,$9.50,10.55
2013-06-30,77.92,$8.02,9.72
2013-03-31,80.32,$7.01,11.46
2012-12-31,68.68,$5.06,13.57
2012-09-30,55.67,$6.16,9.04
2012-06-30,40.8,$7.49,5.45
2012-03-31,50.86,$3.96,12.84
2011-12-31,31.19,$4.96,6.29
2011-09-30,32.49,$4.53,7.17
2011-06-30,52.49,$3.28,16.0
2011-03-31,54.77,$8.02,6.83
2010-12-31,56.7,$7.98,7.11
2010-09-30,51.38,$7.03,7.31
2010-06-30,55.42,$7.16,7.74
2010-03-31,54.82,$5.56,9.86
2009-12-31,50.42,$4.34,11.62
