AptarGroup PE Ratio Historical Data,AptarGroup PE Ratio Historical Data,AptarGroup PE Ratio Historical Data,AptarGroup PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,145.2,,26.21
2024-12-31,157.1,$5.54,28.36
2024-09-30,159.76,$4.98,32.08
2024-06-30,139.99,$4.76,29.41
2024-03-31,142.63,$4.66,30.61
2023-12-31,122.15,$4.25,28.74
2023-09-30,123.14,$4.21,29.25
2023-06-30,113.71,$3.76,30.24
2023-03-31,115.63,$3.47,33.32
2022-12-31,107.25,$3.58,29.96
2022-09-30,92.32,$3.54,26.08
2022-06-30,99.9,$3.43,29.13
2022-03-31,113.34,$3.29,34.45
2021-12-31,117.76,$3.60,32.71
2021-09-30,114.41,$3.54,32.32
2021-06-30,134.61,$3.79,35.52
2021-03-31,135.07,$3.61,37.42
2020-12-31,130.17,$3.21,40.55
2020-09-30,107.31,$3.15,34.07
2020-06-30,105.83,$3.05,34.7
2020-03-31,93.77,$3.54,26.49
2019-12-31,108.58,$3.66,29.67
2019-09-30,110.9,$3.55,31.24
2019-06-30,116.08,$3.30,35.18
2019-03-31,99.0,$3.04,32.57
2018-12-31,87.54,$3.00,29.18
2018-09-30,99.92,$3.15,31.72
2018-06-30,86.32,$3.38,25.54
2018-03-31,82.75,$3.53,23.44
2017-12-31,79.19,$3.42,23.16
2017-09-30,78.93,$3.42,23.08
2017-06-30,79.15,$3.41,23.21
2017-03-31,69.87,$3.31,21.11
2016-12-31,66.37,$3.17,20.94
2016-09-30,69.64,$3.08,22.61
2016-06-30,70.92,$3.09,22.95
2016-03-31,70.01,$3.08,22.73
2015-12-31,64.57,$3.11,20.76
2015-09-30,58.4,$3.06,19.08
2015-06-30,56.2,$2.96,18.99
2015-03-31,55.73,$2.85,19.55
2014-12-31,58.39,$2.86,20.42
2014-09-30,52.78,$2.77,19.06
2014-06-30,58.01,$2.71,21.41
2014-03-31,56.99,$2.65,21.5
2013-12-31,58.23,$2.53,23.02
2013-09-30,51.44,$2.51,20.49
2013-06-30,47.03,$2.46,19.12
2013-03-31,48.63,$2.34,20.78
2012-12-31,40.27,$2.39,16.85
2012-09-30,43.45,$2.44,17.81
2012-06-30,42.7,$2.54,16.81
2012-03-31,45.63,$2.67,17.09
2011-12-31,43.28,$2.67,16.21
2011-09-30,36.89,$2.69,13.71
2011-06-30,43.04,$2.65,16.24
2011-03-31,41.08,$2.58,15.92
2010-12-31,38.83,$2.50,15.53
2010-09-30,37.13,$2.43,15.28
2010-06-30,30.62,$2.23,13.73
2010-03-31,31.75,$1.97,16.12
2009-12-31,28.72,$1.79,16.04
