FutureFuel PE Ratio Historical Data,FutureFuel PE Ratio Historical Data,FutureFuel PE Ratio Historical Data,FutureFuel PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.16,,5.07
2024-09-30,5.68,$0.82,6.93
2024-06-30,5.02,$0.91,5.52
2024-03-31,5.49,$0.46,11.94
2023-12-31,4.1,$0.84,4.89
2023-09-30,4.79,$0.65,7.37
2023-06-30,5.86,$0.95,6.17
2023-03-31,4.86,$1.11,4.37
2022-12-31,5.31,$0.35,15.18
2022-09-30,3.92,$0.52,7.54
2022-06-30,4.69,$0.37,12.67
2022-03-31,6.21,$0.52,11.95
2021-12-31,4.84,$0.66,7.33
2021-09-30,4.48,$0.28,16.0
2021-06-30,5.99,$0.23,26.03
2021-03-31,7.43,$0.50,14.86
2020-12-31,6.47,$1.08,5.99
2020-09-30,5.76,$2.60,2.22
2020-06-30,6.03,$2.59,2.33
2020-03-31,4.31,$2.32,1.86
2019-12-31,4.71,$2.01,2.34
2019-09-30,4.52,$0.40,11.29
2019-06-30,4.4,$0.47,9.36
2019-03-31,5.01,$0.53,9.46
2018-12-31,5.91,$1.32,4.48
2018-09-30,6.89,$1.64,4.2
2018-06-30,5.18,$1.50,3.46
2018-03-31,4.42,$1.38,3.2
2017-12-31,5.16,$0.54,9.56
2017-09-30,5.75,$0.61,9.42
2017-06-30,5.48,$0.82,6.69
2017-03-31,5.13,$1.13,4.54
2016-12-31,5.01,$1.29,3.88
2016-09-30,3.45,$1.54,2.24
2016-06-30,3.31,$1.36,2.44
2016-03-31,3.57,$1.12,3.19
2015-12-31,4.07,$1.07,3.8
2015-09-30,2.97,$1.08,2.75
2015-06-30,3.84,$1.23,3.12
2015-03-31,3.05,$1.26,2.42
2014-12-31,3.85,$1.21,3.18
2014-09-30,3.48,$1.13,3.08
2014-06-30,4.81,$1.22,3.95
2014-03-31,5.85,$1.52,3.85
2013-12-31,4.52,$1.71,2.64
2013-09-30,5.03,$1.25,4.02
2013-06-30,3.94,$1.20,3.28
2013-03-31,3.35,$0.98,3.42
2012-12-31,3.24,$0.82,3.95
2012-09-30,2.97,$0.93,3.19
2012-06-30,2.55,$0.94,2.71
2012-03-31,2.64,$0.95,2.78
2011-12-31,2.96,$0.85,3.48
