HNI PE Ratio Historical Data,HNI PE Ratio Historical Data,HNI PE Ratio Historical Data,HNI PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.74,,15.13
2024-12-31,50.37,$2.89,17.43
2024-09-30,53.52,$2.58,20.74
2024-06-30,44.47,$2.40,18.53
2024-03-31,44.25,$1.35,32.78
2023-12-31,40.72,$1.02,39.92
2023-09-30,33.43,$0.93,35.95
2023-06-30,26.92,$1.64,16.42
2023-03-31,26.29,$2.66,9.88
2022-12-31,26.57,$2.95,9.01
2022-09-30,24.51,$2.75,8.91
2022-06-30,31.78,$1.67,19.03
2022-03-31,33.66,$1.34,25.12
2021-12-31,37.92,$1.35,28.09
2021-09-30,32.87,$1.68,19.56
2021-06-30,39.04,$1.96,19.92
2021-03-31,34.88,$1.86,18.75
2020-12-31,30.12,$0.96,31.38
2020-09-30,27.2,$1.54,17.67
2020-06-30,26.25,$1.90,13.82
2020-03-31,21.32,$1.97,10.82
2019-12-31,31.46,$2.55,12.34
2019-09-30,29.58,$2.18,13.57
2019-06-30,29.19,$2.00,14.6
2019-03-31,29.69,$2.06,14.41
2018-12-31,28.79,$2.10,13.71
2018-09-30,35.67,$2.14,16.67
2018-06-30,29.79,$2.09,14.25
2018-03-31,28.67,$1.98,14.48
2017-12-31,30.42,$2.03,14.99
2017-09-30,32.44,$1.50,21.62
2017-06-30,30.93,$1.40,22.1
2017-03-31,35.52,$1.73,20.53
2016-12-31,42.84,$1.88,22.79
2016-09-30,30.32,$2.35,12.9
2016-06-30,35.24,$2.51,14.04
2016-03-31,29.5,$2.39,12.34
2015-12-31,26.94,$2.32,11.61
2015-09-30,31.85,$1.77,18.0
2015-06-30,37.77,$1.61,23.46
2015-03-31,40.52,$1.30,31.17
2014-12-31,37.32,$1.35,27.64
2014-09-30,26.16,$1.69,15.48
2014-06-30,28.24,$1.56,18.1
2014-03-31,26.22,$1.60,16.38
2013-12-31,27.65,$1.39,19.89
2013-09-30,25.6,$1.28,20.0
2013-06-30,25.36,$1.20,21.14
2013-03-31,24.79,$1.10,22.54
2012-12-31,20.84,$1.07,19.48
2012-09-30,17.53,$1.08,16.23
2012-06-30,17.54,$1.10,15.95
2012-03-31,18.7,$1.05,17.81
2011-12-31,17.44,$1.01,17.26
2011-09-30,12.66,$0.88,14.38
2011-06-30,16.41,$0.67,24.49
2011-03-31,20.43,$0.67,30.49
2010-12-31,20.04,$0.58,34.56
2010-09-30,18.32,$0.07,261.7
2010-06-30,17.42,$0.12,145.19
2010-03-31,16.69,$-0.01,0.0
2009-12-31,17.16,$-0.15,0.0
