Kodiak Gas Services PE Ratio Historical Data,Kodiak Gas Services PE Ratio Historical Data,Kodiak Gas Services PE Ratio Historical Data,Kodiak Gas Services PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,38.45,,65.17
2024-12-31,40.83,$0.59,69.2
2024-09-30,29.0,$0.29,100.0
2024-06-30,27.26,$0.64,42.59
2024-03-31,27.34,$0.88,31.07
