Stellar Bancorp PE Ratio Historical Data,Stellar Bancorp PE Ratio Historical Data,Stellar Bancorp PE Ratio Historical Data,Stellar Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,27.4,,12.45
2024-12-31,28.35,$2.20,12.89
2024-09-30,25.77,$2.19,11.77
2024-06-30,22.75,$2.14,10.63
2024-03-31,23.99,$2.24,10.71
2023-12-31,27.26,$2.45,11.13
2023-09-30,20.78,$1.98,10.5
2023-06-30,22.18,$1.92,11.55
2023-03-31,23.72,$1.74,13.63
2022-12-31,28.26,$1.47,19.22
2022-09-30,27.93,$1.41,19.81
2022-06-30,25.28,$1.48,17.08
2022-03-31,29.34,$1.48,19.82
2021-12-31,27.33,$1.46,18.72
2021-09-30,24.75,$1.89,13.09
2021-06-30,25.49,$1.56,16.34
2021-03-31,28.54,$1.17,24.4
2020-12-31,23.6,$1.06,22.27
2020-09-30,15.06,$1.15,13.09
2020-06-30,19.24,$1.41,13.64
2020-03-31,16.2,$1.89,8.57
2019-12-31,28.21,$2.01,14.04
2019-09-30,25.19,$2.07,12.17
2019-06-30,25.34,$2.07,12.24
2019-03-31,29.13,$1.94,15.02
2018-12-31,26.3,$1.89,13.91
2018-09-30,31.79,$1.41,22.55
