Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data,Verizon PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,43.75,,10.57
2024-12-31,39.99,$4.14,9.66
2024-09-30,44.21,$2.32,19.06
2024-06-30,39.95,$2.67,14.96
2024-03-31,40.0,$2.68,14.93
2023-12-31,35.34,$2.76,12.8
2023-09-30,29.74,$4.96,6.0
2023-06-30,33.51,$5.00,6.7
2023-03-31,34.48,$5.14,6.71
2022-12-31,34.39,$5.06,6.8
2022-09-30,32.58,$4.61,7.07
2022-06-30,43.0,$4.99,8.62
2022-03-31,42.64,$5.15,8.28
2021-12-31,42.99,$5.33,8.07
2021-09-30,44.16,$5.33,8.28
2021-06-30,45.3,$4.83,9.38
2021-03-31,46.51,$4.56,10.2
2020-12-31,46.49,$4.29,10.84
2020-09-30,46.58,$4.41,10.56
2020-06-30,42.68,$4.61,9.26
2020-03-31,41.16,$4.43,9.29
2019-12-31,46.54,$4.65,10.01
2019-09-30,45.29,$3.89,11.64
2019-06-30,42.41,$3.83,11.07
2019-03-31,43.45,$3.88,11.2
2018-12-31,40.88,$3.77,10.84
2018-09-30,38.4,$7.86,4.89
2018-06-30,35.77,$7.56,4.73
2018-03-31,33.57,$7.63,4.4
2017-12-31,36.74,$7.36,4.99
2017-09-30,33.94,$3.90,8.7
2017-06-30,30.23,$3.90,7.75
2017-03-31,32.61,$3.00,10.87
2016-12-31,35.32,$3.22,10.97
2016-09-30,34.01,$3.44,9.89
2016-06-30,36.17,$3.54,10.22
2016-03-31,34.66,$4.41,7.86
2015-12-31,29.26,$4.37,6.7
2015-09-30,27.2,$2.51,10.83
2015-06-30,28.79,$2.41,11.95
2015-03-31,29.71,$2.38,12.48
2014-12-31,28.24,$2.51,11.25
2014-09-30,29.85,$4.81,6.21
2014-06-30,28.9,$4.70,6.15
2014-03-31,27.79,$4.47,6.22
2013-12-31,28.4,$4.00,7.1
2013-09-30,26.67,$0.76,35.09
2013-06-30,28.48,$0.54,52.74
2013-03-31,27.52,$0.40,68.79
2012-12-31,23.94,$0.31,77.22
2012-09-30,24.94,$1.08,23.09
2012-06-30,24.05,$1.01,23.81
2012-03-31,20.42,$0.94,21.72
2011-12-31,21.15,$0.86,24.59
2011-09-30,19.13,$2.50,7.65
2011-06-30,19.11,$2.32,8.24
2011-03-31,19.53,$1.68,11.62
2010-12-31,17.89,$1.31,13.66
2010-09-30,16.06,$0.15,107.07
2010-06-30,12.69,$0.25,50.77
2010-03-31,13.83,$0.84,16.47
2009-12-31,14.56,$1.28,11.37
