Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data,Coca-Cola Europacific Partners PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,85.56,,45.27
2024-06-30,71.71,$1.89,37.94
2018-12-31,39.53,$2.20,17.97
2018-09-30,38.94,$2.61,14.92
2018-06-30,34.55,$2.43,14.22
2018-03-31,35.14,$1.71,20.55
2017-09-30,34.59,$2.15,16.09
2017-06-30,33.61,$1.71,19.65
2016-12-31,25.79,$1.71,15.08
2016-09-30,32.77,$2.43,13.49
2016-03-31,32.37,$2.43,13.32
2015-12-31,31.41,$2.54,12.37
2015-09-30,30.85,$2.33,13.24
2015-06-30,27.71,$2.57,10.78
2015-03-31,28.2,$2.60,10.85
2014-12-31,28.21,$2.64,10.69
2014-09-30,28.3,$2.69,10.52
2014-06-30,30.48,$2.80,10.89
2014-03-31,30.47,$2.68,11.37
2013-12-31,28.15,$2.45,11.49
2013-09-30,25.53,$2.28,11.2
2013-06-30,22.21,$2.10,10.58
2013-03-31,23.19,$2.11,10.99
2012-12-31,19.82,$2.25,8.81
2012-09-30,19.43,$2.27,8.56
2012-06-30,17.33,$2.26,7.67
2012-03-31,17.57,$2.33,7.54
2011-12-31,15.75,$2.29,6.88
2011-09-30,15.12,$2.21,6.84
2011-06-30,17.65,$1.94,9.1
2011-03-31,16.43,$1.89,8.69
2010-12-31,15.0,$1.79,8.38
2010-09-30,12.71,$1.73,7.35
2010-06-30,10.57,$1.62,6.53
2010-03-31,11.27,$1.57,7.18
2009-12-31,8.61,$1.49,5.78
