Natural Alternatives PE Ratio Historical Data,Natural Alternatives PE Ratio Historical Data,Natural Alternatives PE Ratio Historical Data,Natural Alternatives PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.61,,0.0
2024-12-31,4.31,$-1.29,0.0
2024-09-30,5.73,$-1.44,0.0
2024-06-30,6.02,$-1.23,0.0
2024-03-31,6.09,$-0.56,0.0
2023-12-31,6.53,$-0.70,0.0
2023-09-30,6.49,$0.13,49.92
2023-06-30,7.2,$0.43,16.74
2023-03-31,9.22,$0.60,15.37
2022-12-31,8.39,$1.42,5.91
2022-09-30,9.27,$1.41,6.57
2022-06-30,10.44,$1.74,6.0
2022-03-31,11.52,$1.69,6.82
2021-12-31,12.65,$1.58,8.01
2021-09-30,13.5,$1.85,7.3
2021-06-30,16.83,$1.69,9.96
2021-03-31,15.36,$1.49,10.31
2020-12-31,10.59,$0.58,18.26
2020-09-30,7.55,$0.08,94.38
2020-06-30,6.84,$-0.26,0.0
2020-03-31,6.3,$-0.56,0.0
2019-12-31,7.98,$0.32,24.94
2019-09-30,8.35,$0.56,14.91
2019-06-30,11.66,$0.92,12.67
2019-03-31,11.5,$1.36,8.46
2018-12-31,9.83,$1.39,7.07
2018-09-30,9.8,$0.88,11.14
2018-06-30,10.15,$0.72,14.1
2018-03-31,11.0,$0.54,20.37
2017-12-31,10.3,$0.35,29.43
2017-09-30,10.8,$0.92,11.74
2017-06-30,9.95,$1.08,9.21
2017-03-31,8.8,$1.37,6.42
2016-12-31,11.3,$1.72,6.57
2016-09-30,13.14,$1.63,8.06
2016-06-30,11.04,$1.44,7.67
2016-03-31,13.53,$1.07,12.64
2015-12-31,10.34,$0.73,14.16
2015-09-30,6.29,$0.61,10.31
2015-06-30,5.67,$0.50,11.33
2015-03-31,5.48,$0.51,10.74
2014-12-31,5.35,$0.48,11.15
2014-09-30,6.48,$0.35,18.51
2014-06-30,5.28,$0.29,18.21
2014-03-31,5.43,$0.22,24.68
2013-12-31,5.58,$0.16,34.88
2013-09-30,5.75,$0.14,41.07
2013-06-30,4.61,$0.23,20.04
2013-03-31,4.84,$0.25,19.36
2012-12-31,5.02,$0.37,13.57
2012-09-30,6.15,$0.47,13.09
2012-06-30,7.66,$0.59,12.98
