Fortrea Holdings PE Ratio Historical Data,Fortrea Holdings PE Ratio Historical Data,Fortrea Holdings PE Ratio Historical Data,Fortrea Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.77,,0.0
2024-12-31,18.65,$-3.69,0.0
2024-09-30,20.0,$-3.42,0.0
2024-06-30,23.34,$-3.26,0.0
