Kenvue PE Ratio Historical Data,Kenvue PE Ratio Historical Data,Kenvue PE Ratio Historical Data,Kenvue PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,23.39,,44.13
2024-12-31,21.35,$0.53,40.28
2024-09-30,23.13,$0.55,42.05
2024-06-30,18.18,$0.58,31.34
2024-03-31,21.46,$0.78,27.51
