PHINIA PE Ratio Historical Data,PHINIA PE Ratio Historical Data,PHINIA PE Ratio Historical Data,PHINIA PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,44.17,,25.24
2024-12-31,48.17,$1.75,27.53
2024-09-30,46.03,$2.33,19.76
2024-06-30,39.36,$1.87,21.05
