Park-Ohio Holdings PE Ratio Historical Data,Park-Ohio Holdings PE Ratio Historical Data,Park-Ohio Holdings PE Ratio Historical Data,Park-Ohio Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,22.43,,9.19
2024-12-31,26.27,$2.44,10.77
2024-09-30,30.58,$1.25,24.46
2024-06-30,25.68,$1.40,18.34
2024-03-31,26.34,$0.91,28.94
2023-12-31,26.48,$0.63,42.03
2023-09-30,19.45,$-0.20,0.0
2023-06-30,18.44,$-0.86,0.0
2023-03-31,11.63,$-1.21,0.0
2022-12-31,11.67,$-1.18,0.0
2022-09-30,10.7,$-0.68,0.0
2022-06-30,14.91,$-1.50,0.0
2022-03-31,13.06,$-2.02,0.0
2021-12-31,19.51,$-2.07,0.0
2021-09-30,23.39,$-0.13,0.0
2021-06-30,29.32,$0.91,32.22
2021-03-31,28.63,$-0.03,0.0
2020-12-31,27.98,$-0.38,0.0
2020-09-30,14.48,$-0.23,0.0
2020-06-30,14.95,$0.32,46.71
2020-03-31,17.07,$2.31,7.39
2019-12-31,30.19,$3.11,9.71
2019-09-30,26.69,$3.69,7.23
2019-06-30,29.0,$3.84,7.55
2019-03-31,28.71,$4.41,6.51
2018-12-31,27.11,$4.29,6.32
2018-09-30,33.76,$3.56,9.48
2018-06-30,32.73,$3.22,10.17
2018-03-31,33.99,$2.28,14.91
2017-12-31,40.08,$2.29,17.5
2017-09-30,39.65,$2.36,16.8
2017-06-30,33.02,$2.66,12.41
2017-03-31,31.05,$3.15,9.86
2016-12-31,36.69,$2.58,14.22
2016-09-30,31.29,$3.00,10.43
2016-06-30,24.19,$2.96,8.17
2016-03-31,36.44,$3.23,11.28
2015-12-31,31.14,$3.88,8.03
2015-09-30,24.35,$3.79,6.43
2015-06-30,40.77,$3.73,10.93
2015-03-31,44.19,$3.73,11.85
2014-12-31,52.77,$3.68,14.34
2014-09-30,39.98,$3.54,11.29
2014-06-30,48.44,$3.53,13.72
2014-03-31,46.69,$3.51,13.3
2013-12-31,43.57,$3.54,12.31
2013-09-30,31.95,$3.45,9.26
2013-06-30,27.42,$3.34,8.21
2013-03-31,27.55,$2.73,10.09
2012-12-31,17.72,$2.62,6.76
2012-09-30,18.02,$3.57,5.05
2012-06-30,15.82,$2.93,5.4
2012-03-31,16.67,$2.46,6.78
2011-12-31,14.83,$2.45,6.05
2011-09-30,9.99,$1.17,8.54
2011-06-30,17.58,$1.45,12.12
2011-03-31,17.18,$1.84,9.34
2010-12-31,17.39,$1.29,13.48
2010-09-30,11.06,$1.01,10.95
2010-06-30,11.97,$0.20,59.83
2010-03-31,7.27,$0.20,36.34
2009-12-31,4.7,$-0.48,0.0
