Industrial Logistics Properties Trust PE Ratio Historical Data,Industrial Logistics Properties Trust PE Ratio Historical Data,Industrial Logistics Properties Trust PE Ratio Historical Data,Industrial Logistics Properties Trust PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.52,,0.0
2024-12-31,3.65,$-1.46,0.0
2024-09-30,4.75,$-1.57,0.0
2024-06-30,3.66,$-1.59,0.0
2024-03-31,4.26,$-1.64,0.0
2023-12-31,4.65,$-1.66,0.0
2023-09-30,2.85,$-1.66,0.0
2023-06-30,3.25,$-1.96,0.0
2023-03-31,3.0,$-3.76,0.0
2022-12-31,3.19,$-3.48,0.0
2022-09-30,5.36,$-2.03,0.0
2022-06-30,13.7,$-1.05,0.0
2022-03-31,21.7,$1.44,15.07
2021-12-31,23.63,$1.84,12.84
2021-09-30,23.69,$1.49,15.9
2021-06-30,24.08,$1.43,16.84
2021-03-31,21.02,$1.37,15.34
2020-12-31,20.86,$1.27,16.42
2020-09-30,19.29,$0.83,23.24
2020-06-30,17.83,$0.78,22.86
2020-03-31,14.93,$0.75,19.91
2019-12-31,18.82,$0.81,23.23
2019-09-30,17.57,$0.91,19.3
2019-06-30,16.94,$1.02,16.61
2019-03-31,16.14,$1.11,14.54
2018-12-31,15.49,$1.16,13.35
