Senmiao Technology PE Ratio Historical Data,Senmiao Technology PE Ratio Historical Data,Senmiao Technology PE Ratio Historical Data,Senmiao Technology PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.88,,0.0
2024-12-31,1.07,$-0.32,0.0
2024-09-30,1.2,$-0.37,0.0
2024-06-30,1.03,$-0.42,0.0
2024-03-31,0.9,$-0.41,0.0
2023-12-31,0.41,$-0.45,0.0
2023-09-30,0.47,$-0.48,0.0
2023-06-30,0.53,$-0.51,0.0
2023-03-31,0.88,$-0.41,0.0
2022-12-31,0.9,$-0.23,0.0
2022-09-30,0.89,$-0.10,0.0
2022-06-30,0.98,$0.15,6.53
2022-03-31,2.3,$-1.10,0.0
2021-12-31,3.7,$-1.80,0.0
2021-09-30,5.87,$-2.50,0.0
2021-06-30,10.5,$-3.20,0.0
2021-03-31,14.0,$-2.70,0.0
2020-12-31,10.7,$-2.00,0.0
2020-09-30,6.1,$-3.10,0.0
2020-06-30,7.36,$-2.10,0.0
2020-03-31,4.38,$-1.60,0.0
2019-12-31,6.7,$-2.40,0.0
2019-09-30,3.71,$-0.90,0.0
2019-06-30,27.9,$-1.60,0.0
2019-03-31,43.8,$-1.80,0.0
2018-12-31,38.1,$-1.00,0.0
