Masco PE Ratio Historical Data,Masco PE Ratio Historical Data,Masco PE Ratio Historical Data,Masco PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,70.41,,18.73
2024-12-31,72.57,$3.76,19.3
2024-09-30,83.64,$3.76,22.24
2024-06-30,66.18,$4.09,16.18
2024-03-31,77.97,$4.08,19.11
2023-12-31,65.94,$4.01,16.45
2023-09-30,52.62,$3.67,14.34
2023-06-30,56.22,$3.54,15.88
2023-03-31,48.44,$3.57,13.57
2022-12-31,45.23,$3.64,12.42
2022-09-30,44.97,$3.68,12.22
2022-06-30,48.48,$3.60,13.47
2022-03-31,48.63,$2.27,21.42
2021-12-31,66.62,$1.64,40.62
2021-09-30,52.51,$1.83,28.69
2021-06-30,55.48,$1.99,27.88
2021-03-31,56.19,$2.98,18.86
2020-12-31,51.4,$4.56,11.27
2020-09-30,51.46,$5.41,9.51
2020-06-30,46.74,$4.80,9.74
2020-03-31,32.07,$4.77,6.72
2019-12-31,44.4,$3.24,13.7
2019-09-30,38.44,$2.29,16.78
2019-06-30,36.07,$2.43,14.84
2019-03-31,36.03,$2.29,15.73
2018-12-31,26.7,$2.37,11.27
2018-09-30,33.3,$2.00,16.65
2018-06-30,33.95,$1.88,18.06
2018-03-31,36.6,$1.69,21.66
2017-12-31,39.67,$1.65,24.04
2017-09-30,35.13,$1.68,20.91
2017-06-30,34.32,$1.62,21.18
2017-03-31,30.44,$1.58,19.26
2016-12-31,28.23,$1.47,19.2
2016-09-30,30.54,$1.39,21.97
2016-06-30,27.45,$1.31,20.96
2016-03-31,27.82,$1.16,23.99
2015-12-31,24.95,$1.02,24.46
2015-09-30,22.12,$1.08,20.48
2015-06-30,20.65,$2.27,9.1
2015-03-31,20.6,$2.36,8.73
2014-12-31,19.37,$2.39,8.11
2014-09-30,18.32,$2.23,8.21
2014-06-30,17.0,$1.01,16.83
2014-03-31,16.88,$0.83,20.34
2013-12-31,17.25,$0.75,23.0
2013-09-30,16.06,$0.38,42.27
2013-06-30,14.65,$0.13,112.73
2013-03-31,15.17,$-0.30,0.0
2012-12-31,12.42,$-0.34,0.0
2012-09-30,11.16,$-1.74,0.0
2012-06-30,10.23,$-1.68,0.0
2012-03-31,9.81,$-1.44,0.0
2011-12-31,7.64,$-1.66,0.0
2011-09-30,5.14,$-2.97,0.0
2011-06-30,8.63,$-3.09,0.0
2011-03-31,9.93,$-3.10,0.0
2010-12-31,8.98,$-2.99,0.0
2010-09-30,7.76,$-0.56,0.0
2010-06-30,7.53,$-0.46,0.0
2010-03-31,10.82,$-0.32,0.0
2009-12-31,9.58,$-0.53,0.0
