FS Bancorp PE Ratio Historical Data,FS Bancorp PE Ratio Historical Data,FS Bancorp PE Ratio Historical Data,FS Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,37.23,,7.9
2024-09-30,44.24,$4.71,9.39
2024-06-30,36.0,$4.55,7.91
2024-03-31,34.01,$4.58,7.43
2023-12-31,35.93,$4.56,7.88
2023-09-30,28.44,$4.30,6.61
2023-06-30,28.76,$4.25,6.77
2023-03-31,28.46,$3.92,7.26
2022-12-31,31.5,$3.69,8.54
2022-09-30,25.51,$3.73,6.84
2022-06-30,26.69,$3.62,7.37
2022-03-31,28.53,$3.76,7.59
2021-12-31,30.76,$4.30,7.15
2021-09-30,31.52,$4.59,6.87
2021-06-30,32.32,$5.09,6.35
2021-03-31,30.36,$5.27,5.76
2020-12-31,24.65,$4.49,5.49
2020-09-30,18.36,$3.84,4.78
2020-06-30,17.18,$3.16,5.44
2020-03-31,15.95,$2.50,6.38
2019-12-31,28.15,$2.51,11.24
2019-09-30,23.09,$3.27,7.06
2019-06-30,22.81,$3.02,7.57
2019-03-31,22.2,$3.09,7.18
2018-12-31,18.8,$3.09,6.08
2018-09-30,24.36,$2.17,11.25
2018-06-30,27.58,$2.17,12.74
2018-03-31,23.27,$2.31,10.1
2017-12-31,23.69,$2.16,10.99
2017-09-30,22.38,$2.10,10.68
2017-06-30,18.92,$2.15,8.8
2017-03-31,16.1,$1.93,8.36
2016-12-31,15.46,$1.78,8.71
2016-09-30,12.51,$1.68,7.47
2016-06-30,10.83,$1.42,7.65
2016-03-31,10.72,$1.40,7.65
2015-12-31,11.03,$1.48,7.48
2015-09-30,9.97,$1.41,7.1
2015-06-30,9.47,$1.27,7.46
2015-03-31,8.14,$0.97,8.39
2014-12-31,7.65,$0.77,10.0
2014-09-30,7.14,$0.60,12.0
2014-06-30,7.24,$0.58,12.6
2014-03-31,6.78,$0.59,11.49
2013-12-31,7.09,$0.65,10.91
2013-09-30,7.01,$0.74,9.47
2013-06-30,7.4,$1.08,6.85
