OneMain Holdings PE Ratio Historical Data,OneMain Holdings PE Ratio Historical Data,OneMain Holdings PE Ratio Historical Data,OneMain Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,50.01,,11.79
2024-12-31,52.13,$4.24,12.29
2024-09-30,46.18,$4.57,10.11
2024-06-30,46.49,$4.87,9.55
2024-03-31,48.01,$5.13,9.36
2023-12-31,45.26,$5.32,8.51
2023-09-30,35.94,$5.42,6.63
2023-06-30,38.31,$5.33,7.19
2023-03-31,31.59,$6.16,5.13
2022-12-31,27.75,$7.04,3.94
2022-09-30,23.98,$7.58,3.16
2022-06-30,29.59,$8.23,3.6
2022-03-31,36.75,$9.15,4.02
2021-12-31,38.1,$9.85,3.87
2021-09-30,41.58,$10.50,3.96
2021-06-30,42.0,$10.19,4.12
2021-03-31,37.19,$8.25,4.51
2020-12-31,30.82,$5.43,5.67
2020-09-30,19.75,$4.67,4.23
2020-06-30,14.37,$4.63,3.1
2020-03-31,11.05,$5.39,2.05
2019-12-31,22.77,$6.26,3.64
2019-09-30,19.7,$5.59,3.52
2019-06-30,17.1,$4.86,3.52
2019-03-31,15.93,$3.49,4.57
2018-12-31,12.1,$3.29,3.68
2018-09-30,16.74,$2.34,7.15
2018-06-30,16.58,$1.76,9.42
2018-03-31,14.91,$2.01,7.42
2017-12-31,12.95,$1.35,9.59
2017-09-30,14.04,$1.26,11.14
2017-06-30,12.25,$0.94,13.03
2017-03-31,12.38,$0.83,14.91
2016-12-31,11.03,$1.71,6.45
2016-09-30,15.42,$-0.12,0.0
