Marine Products PE Ratio Historical Data,Marine Products PE Ratio Historical Data,Marine Products PE Ratio Historical Data,Marine Products PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,8.2,,16.73
2024-12-31,9.17,$0.49,18.71
2024-09-30,9.56,$0.53,18.03
2024-06-30,9.81,$0.73,13.44
2024-03-31,10.56,$1.01,10.46
2023-12-31,10.11,$1.22,8.29
2023-09-30,12.42,$1.41,8.81
2023-06-30,14.61,$1.45,10.08
2023-03-31,11.32,$1.32,8.58
2022-12-31,10.0,$1.19,8.4
2022-09-30,7.1,$1.09,6.51
2022-06-30,7.89,$0.95,8.31
2022-03-31,9.48,$0.83,11.43
2021-12-31,10.17,$0.86,11.82
2021-09-30,10.08,$0.82,12.29
2021-06-30,12.34,$0.81,15.24
2021-03-31,12.92,$0.69,18.72
2020-12-31,11.48,$0.57,20.14
2020-09-30,12.26,$0.46,26.64
2020-06-30,10.79,$0.50,21.59
2020-03-31,6.25,$0.72,8.67
2019-12-31,11.04,$0.82,13.46
2019-09-30,10.69,$0.86,12.43
2019-06-30,11.56,$0.84,13.76
2019-03-31,10.01,$0.83,12.06
2018-12-31,12.45,$0.83,15.0
2018-09-30,16.71,$0.79,21.15
2018-06-30,12.91,$0.71,18.18
2018-03-31,10.11,$0.63,16.04
2017-12-31,9.13,$0.56,16.3
2017-09-30,11.4,$0.56,20.36
2017-06-30,11.04,$0.54,20.44
2017-03-31,7.64,$0.49,15.6
2016-12-31,9.69,$0.44,22.02
2016-09-30,6.23,$0.44,14.15
2016-06-30,5.83,$0.41,14.23
2016-03-31,5.19,$0.40,12.98
2015-12-31,4.1,$0.38,10.79
2015-09-30,4.68,$0.33,14.2
2015-06-30,4.19,$0.30,13.95
2015-03-31,5.71,$0.26,21.98
2014-12-31,5.6,$0.23,24.34
2014-09-30,5.19,$0.24,21.63
2014-06-30,5.44,$0.24,22.67
2014-03-31,4.91,$0.21,23.37
2013-12-31,6.53,$0.20,32.67
2013-09-30,5.88,$0.17,34.61
2013-06-30,5.18,$0.18,28.78
2013-03-31,4.73,$0.19,24.92
2012-12-31,3.66,$0.19,19.28
2012-09-30,3.46,$0.26,13.29
2012-06-30,3.51,$0.23,15.28
2012-03-31,3.43,$0.20,17.13
2011-12-31,2.85,$0.18,15.82
2011-09-30,1.96,$0.09,21.82
2011-06-30,3.86,$0.09,42.87
2011-03-31,4.55,$0.13,35.02
2010-12-31,3.82,$0.11,34.76
2010-09-30,3.53,$0.02,176.27
2010-06-30,3.25,$-0.05,0.0
2010-03-31,3.45,$-0.23,0.0
2009-12-31,2.83,$-0.30,0.0
