Tucows PE Ratio Historical Data,Tucows PE Ratio Historical Data,Tucows PE Ratio Historical Data,Tucows PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.1,,0.0
2024-12-31,17.14,$-6.15,0.0
2024-09-30,20.89,$-8.29,0.0
2024-06-30,19.32,$-8.35,0.0
2024-03-31,18.56,$-9.51,0.0
2023-12-31,27.0,$-8.86,0.0
2023-09-30,20.41,$-7.97,0.0
2023-06-30,27.74,$-6.62,0.0
2023-03-31,19.45,$-4.05,0.0
2022-12-31,33.92,$-2.56,0.0
2022-09-30,37.41,$-1.49,0.0
2022-06-30,44.51,$-0.62,0.0
2022-03-31,68.3,$-0.16,0.0
2021-12-31,83.82,$0.32,261.94
2021-09-30,78.95,$0.69,114.42
2021-06-30,80.32,$0.63,127.49
2021-03-31,77.5,$0.47,164.89
2020-12-31,73.89,$0.53,139.42
2020-09-30,68.9,$0.88,78.3
2020-06-30,57.32,$1.20,47.77
2020-03-31,48.26,$1.43,33.75
2019-12-31,61.78,$1.43,43.2
2019-09-30,54.16,$1.30,41.66
2019-06-30,61.02,$1.41,43.28
2019-03-31,81.18,$1.50,54.12
2018-12-31,60.06,$1.59,37.77
2018-09-30,55.75,$2.22,25.11
2018-06-30,60.65,$2.04,29.73
2018-03-31,56.0,$2.20,25.45
2017-12-31,70.05,$2.08,33.68
2017-09-30,58.55,$1.30,45.04
2017-06-30,53.5,$1.43,37.41
2017-03-31,51.05,$1.32,38.67
2016-12-31,35.25,$1.50,23.5
2016-09-30,32.0,$1.52,21.05
2016-06-30,24.36,$1.35,18.04
2016-03-31,22.45,$1.17,19.19
2015-12-31,21.1,$1.00,21.1
2015-09-30,23.14,$0.88,26.3
2015-06-30,27.85,$0.83,33.55
2015-03-31,19.0,$0.74,25.68
2014-12-31,19.41,$0.54,35.94
2014-09-30,14.93,$0.46,32.46
2014-06-30,12.24,$0.47,26.04
2014-03-31,12.65,$0.40,31.63
2013-12-31,14.0,$0.36,38.89
2013-09-30,9.56,$0.32,29.88
2013-06-30,7.44,$0.20,37.2
2013-03-31,6.88,$0.20,34.4
2012-12-31,5.76,$0.32,18.0
2012-09-30,5.12,$0.72,7.11
2012-06-30,4.4,$0.52,8.46
2012-03-31,4.92,$0.52,9.46
2011-12-31,3.0,$0.44,6.83
2011-09-30,3.02,$0.08,37.78
2011-06-30,3.2,$0.24,13.33
2011-03-31,3.4,$0.16,21.25
2010-12-31,2.91,$0.16,18.18
2010-09-30,2.66,$0.20,13.32
2010-06-30,2.56,$0.40,6.4
2010-03-31,2.84,$0.72,3.94
2009-12-31,2.72,$0.72,3.78
