Adeia PE Ratio Historical Data,Adeia PE Ratio Historical Data,Adeia PE Ratio Historical Data,Adeia PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.81,,24.23
2024-12-31,13.98,$0.57,24.53
2024-09-30,11.91,$0.36,33.08
2024-06-30,11.19,$0.40,27.96
2024-03-31,10.92,$0.34,32.12
2023-12-31,12.39,$0.59,21.0
2023-09-30,10.68,$1.13,9.45
