OneWater Marine PE Ratio Historical Data,OneWater Marine PE Ratio Historical Data,OneWater Marine PE Ratio Historical Data,OneWater Marine PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.54,,0.0
2024-12-31,17.38,$-0.72,0.0
2024-09-30,23.91,$-0.40,0.0
2024-06-30,27.57,$-6.66,0.0
2024-03-31,28.15,$-5.70,0.0
2023-12-31,33.79,$-3.87,0.0
2023-09-30,25.62,$-2.77,0.0
2023-06-30,36.24,$5.40,6.71
2023-03-31,27.97,$7.31,3.83
2022-12-31,28.6,$8.29,3.45
2022-09-30,30.11,$9.13,3.3
2022-06-30,33.05,$9.20,3.59
2022-03-31,34.45,$8.38,4.11
2021-12-31,60.97,$7.67,7.95
2021-09-30,40.21,$6.93,5.8
2021-06-30,42.03,$5.82,7.22
2021-03-31,38.27,$5.14,7.45
2020-12-31,27.86,$3.49,7.98
