Monroe Capital PE Ratio Historical Data,Monroe Capital PE Ratio Historical Data,Monroe Capital PE Ratio Historical Data,Monroe Capital PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,7.84,,17.42
2024-12-31,8.5,$0.45,18.89
2024-09-30,7.84,$0.60,13.07
2024-06-30,7.16,$0.36,19.88
2024-03-31,6.56,$0.01,0.0
2023-12-31,6.21,$0.02,310.73
2023-09-30,6.33,$0.16,39.58
2023-06-30,6.73,$0.14,48.07
2023-03-31,6.11,0,0.0
2022-12-31,6.6,$-0.12,0.0
2022-09-30,5.44,$-0.01,0.0
2022-06-30,6.59,$0.36,18.31
2022-03-31,7.66,$1.23,6.23
2021-12-31,7.79,$1.52,5.12
2021-09-30,7.06,$1.62,4.36
2021-06-30,7.12,$1.99,3.58
2021-03-31,6.52,$2.15,3.03
2020-12-31,5.09,$0.01,0.0
2020-09-30,4.21,$-0.20,0.0
2020-06-30,4.13,$-0.74,0.0
2020-03-31,4.09,$-1.23,0.0
2019-12-31,5.99,$0.94,6.37
2019-09-30,5.64,$0.79,7.14
2019-06-30,5.97,$0.57,10.47
2019-03-31,6.1,$0.58,10.51
2018-12-31,4.69,$0.29,16.16
2018-09-30,6.42,$0.34,18.88
2018-06-30,6.22,$0.70,8.88
2018-03-31,5.53,$0.55,10.06
2017-12-31,6.01,$0.63,9.54
2017-09-30,6.11,$0.97,6.29
2017-06-30,6.34,$0.89,7.12
2017-03-31,6.4,$1.24,5.16
2016-12-31,6.12,$1.70,3.6
2016-09-30,6.12,$1.58,3.87
2016-06-30,5.64,$1.73,3.26
2016-03-31,5.14,$1.75,2.94
2015-12-31,4.73,$1.55,3.05
2015-09-30,4.9,$1.66,2.95
2015-06-30,5.13,$1.63,3.15
2015-03-31,4.96,$1.48,3.35
2014-12-31,4.75,$1.45,3.28
2014-09-30,4.33,$1.26,3.44
2014-06-30,4.16,$1.13,3.68
2014-03-31,4.13,$1.19,3.47
2013-12-31,3.63,$1.38,2.63
2013-09-30,3.76,$1.13,3.33
