GoldMining PE Ratio Historical Data,GoldMining PE Ratio Historical Data,GoldMining PE Ratio Historical Data,GoldMining PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.85,,0.0
2024-11-30,0.87,$-0.10,0.0
2024-08-31,0.84,$-0.10,0.0
2024-05-31,0.89,$-0.10,0.0
2024-02-29,0.79,$-0.11,0.0
2023-11-30,0.92,$-0.13,0.0
2023-08-31,0.84,$-0.12,0.0
2023-05-31,1.04,$-0.09,0.0
2023-02-28,1.07,$-0.07,0.0
2022-11-30,1.37,$-0.06,0.0
2022-08-31,0.89,$-0.01,0.0
2022-05-31,1.2,$-0.04,0.0
2022-02-28,1.79,$0.52,3.44
2021-11-30,1.29,$0.52,2.48
2021-08-31,1.31,$0.47,2.79
