Crown Holdings PE Ratio Historical Data,Crown Holdings PE Ratio Historical Data,Crown Holdings PE Ratio Historical Data,Crown Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,90.16,,25.33
2024-12-31,82.69,$3.56,23.23
2024-09-30,95.61,$0.81,118.04
2024-06-30,73.97,$3.61,20.49
2024-03-31,78.57,$3.47,22.64
2023-12-31,90.99,$3.76,24.2
2023-09-30,87.17,$4.23,20.61
2023-06-30,85.35,$3.96,21.55
2023-03-31,81.03,$5.08,15.95
2022-12-31,80.31,$5.97,13.45
2022-09-30,78.92,$-2.72,0.0
2022-06-30,89.57,$-2.99,0.0
2022-03-31,121.29,$-4.47,0.0
2021-12-31,107.06,$-4.64,0.0
2021-09-30,97.36,$4.43,21.98
2021-06-30,98.54,$5.23,18.84
2021-03-31,93.38,$5.22,17.89
2020-12-31,96.23,$4.30,22.38
2020-09-30,73.81,$3.82,19.32
2020-06-30,62.55,$3.59,17.42
2020-03-31,55.74,$3.67,15.19
2019-12-31,69.67,$3.79,18.38
2019-09-30,63.44,$3.55,17.87
2019-06-30,58.68,$3.42,17.16
2019-03-31,52.41,$3.39,15.46
2018-12-31,39.92,$3.29,12.13
2018-09-30,46.1,$2.22,20.76
2018-06-30,42.99,$2.31,18.61
2018-03-31,48.74,$2.26,21.57
2017-12-31,54.02,$2.36,22.89
2017-09-30,57.35,$3.50,16.39
2017-06-30,57.3,$3.49,16.42
2017-03-31,50.85,$3.76,13.52
2016-12-31,50.49,$3.56,14.18
2016-09-30,54.83,$3.56,15.4
2016-06-30,48.66,$3.26,14.93
2016-03-31,47.62,$3.07,15.51
2015-12-31,48.69,$2.82,17.27
2015-09-30,43.94,$2.44,18.01
2015-06-30,50.81,$3.19,15.93
2015-03-31,51.88,$2.93,17.71
2014-12-31,48.88,$2.78,17.58
2014-09-30,42.76,$3.05,14.02
2014-06-30,47.79,$2.10,22.76
2014-03-31,42.97,$2.27,18.93
2013-12-31,42.8,$2.38,17.98
2013-09-30,40.6,$2.22,18.29
2013-06-30,39.5,$3.61,10.94
2013-03-31,39.96,$3.57,11.19
2012-12-31,35.35,$3.75,9.43
2012-09-30,35.29,$3.60,9.8
2012-06-30,33.12,$2.24,14.79
2012-03-31,35.37,$2.18,16.23
2011-12-31,32.25,$1.82,17.72
2011-09-30,29.4,$2.05,14.34
2011-06-30,37.28,$2.05,18.19
2011-03-31,37.05,$1.91,19.4
2010-12-31,32.06,$2.06,15.56
2010-09-30,27.52,$2.28,12.07
2010-06-30,24.05,$2.11,11.4
2010-03-31,25.89,$2.07,12.51
2009-12-31,24.57,$2.07,11.87
