Agnico Eagle Mines PE Ratio Historical Data,Agnico Eagle Mines PE Ratio Historical Data,Agnico Eagle Mines PE Ratio Historical Data,Agnico Eagle Mines PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,105.41,,27.89
2024-12-31,78.21,$3.78,20.69
2024-09-30,80.18,$2.00,40.09
2024-06-30,64.77,$1.23,52.66
2024-03-31,58.73,$0.95,61.83
2023-12-31,53.56,$4.11,13.03
2023-09-30,44.05,$5.33,8.27
2023-06-30,48.05,$5.14,9.35
2023-03-31,48.62,$5.08,9.57
2022-12-31,49.16,$1.50,32.78
2022-09-30,39.62,$1.46,27.14
2022-06-30,42.52,$1.76,24.16
2022-03-31,56.48,$1.93,29.26
2021-12-31,48.66,$2.21,22.02
2021-09-30,47.15,$2.64,17.86
2021-06-30,54.64,$3.08,17.74
2021-03-31,52.0,$2.74,18.98
2020-12-31,63.02,$2.09,30.16
2020-09-30,70.77,$2.63,26.91
2020-06-30,56.8,$2.04,27.85
2020-03-31,35.17,$1.73,20.33
2019-12-31,54.24,$1.98,27.39
2019-09-30,47.06,$-1.08,0.0
2019-06-30,44.89,$-1.33,0.0
2019-03-31,37.99,$-1.43,0.0
2018-12-31,35.18,$-1.40,0.0
2018-09-30,29.78,$0.43,69.26
2018-06-30,39.78,$0.66,60.28
2018-03-31,36.43,$0.90,40.48
2017-12-31,39.88,$1.04,38.34
2017-09-30,38.94,$1.17,33.28
2017-06-30,38.79,$1.09,35.58
2017-03-31,36.41,$0.91,40.01
2016-12-31,35.94,$0.71,50.63
2016-09-30,46.26,$0.36,128.49
2016-06-30,45.59,$0.15,303.91
2016-03-31,30.76,$0.12,256.3
2015-12-31,22.3,$0.12,185.84
2015-09-30,21.42,$0.07,306.01
2015-06-30,23.92,$-0.01,0.0
2015-03-31,23.5,$0.14,167.87
2014-12-31,20.88,$0.63,33.15
2014-09-30,24.28,$-1.86,0.0
2014-06-30,31.97,$-1.52,0.0
2014-03-31,25.18,$-1.86,0.0
2013-12-31,21.91,$-2.34,0.0
2013-09-30,21.8,$0.75,29.07
2013-06-30,22.52,$1.10,20.48
2013-03-31,33.33,$1.49,22.37
2012-12-31,42.38,$1.81,23.41
2012-09-30,41.76,$-2.20,0.0
2012-06-30,32.43,$-3.29,0.0
2012-03-31,26.62,$-3.14,0.0
2011-12-31,28.8,$-3.34,0.0
2011-09-30,47.02,$0.70,67.17
2011-06-30,49.76,$1.88,26.47
2011-03-31,52.17,$2.11,24.72
2010-12-31,60.17,$1.99,30.23
2010-09-30,55.72,$1.78,31.3
2010-06-30,47.68,$0.96,49.66
2010-03-31,43.67,$0.34,128.44
2009-12-31,42.1,$0.55,76.55
