American Financial PE Ratio Historical Data,American Financial PE Ratio Historical Data,American Financial PE Ratio Historical Data,American Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,125.19,,11.84
2024-12-31,136.93,$10.57,12.95
2024-09-30,130.03,$10.67,12.19
2024-06-30,118.18,$10.60,11.15
2024-03-31,130.39,$10.45,12.48
2023-12-31,110.67,$10.05,11.01
2023-09-30,101.87,$10.16,10.03
2023-06-30,107.75,$10.00,10.78
2023-03-31,109.68,$9.62,11.4
2022-12-31,119.73,$10.53,11.37
2022-09-30,105.19,$11.47,9.17
2022-06-30,118.27,$12.10,9.77
2022-03-31,116.53,$21.84,5.34
2021-12-31,107.86,$23.28,4.63
2021-09-30,94.29,$27.03,3.49
2021-06-30,88.9,$26.33,3.38
2021-03-31,72.51,$16.60,4.37
2020-12-31,55.37,$8.42,6.58
2020-09-30,41.07,$2.80,14.67
2020-06-30,38.62,$2.56,15.09
2020-03-31,42.4,$2.90,14.62
2019-12-31,66.07,$9.87,6.69
2019-09-30,63.64,$7.23,8.8
2019-06-30,60.24,$7.87,7.65
2019-03-31,55.49,$7.87,7.05
2018-12-31,51.99,$5.84,8.9
2018-09-30,62.57,$8.01,7.81
2018-06-30,60.32,$5.88,10.26
2018-03-31,62.03,$5.18,11.98
2017-12-31,59.8,$5.30,11.28
2017-09-30,55.72,$7.79,7.15
2017-06-30,53.35,$8.89,6.0
2017-03-31,50.29,$7.90,6.37
2016-12-31,46.28,$7.32,6.32
2016-09-30,38.75,$4.44,8.73
2016-06-30,38.05,$3.92,9.71
2016-03-31,36.07,$4.87,7.41
2015-12-31,36.79,$3.94,9.34
2015-09-30,34.55,$3.90,8.86
2015-06-30,32.49,$4.47,7.27
2015-03-31,31.92,$4.05,7.88
2014-12-31,30.09,$4.97,6.05
2014-09-30,28.09,$5.29,5.31
2014-06-30,28.8,$4.93,5.84
2014-03-31,27.79,$4.98,5.58
2013-12-31,27.69,$5.17,5.36
2013-09-30,25.37,$3.98,6.37
2013-06-30,22.87,$5.45,4.2
2013-03-31,22.06,$5.26,4.19
2012-12-31,18.32,$5.08,3.61
2012-09-30,17.37,$5.64,3.08
2012-06-30,17.89,$4.19,4.27
2012-03-31,17.51,$3.70,4.73
2011-12-31,16.67,$3.35,4.98
2011-09-30,13.96,$3.48,4.01
2011-06-30,15.97,$3.75,4.26
2011-03-31,15.59,$4.20,3.71
2010-12-31,14.31,$4.34,3.3
2010-09-30,13.48,$4.49,3.0
2010-06-30,11.99,$4.37,2.74
2010-03-31,12.42,$4.49,2.77
2009-12-31,10.84,$4.44,2.44
