Pangaea Logistics Solutions PE Ratio Historical Data,Pangaea Logistics Solutions PE Ratio Historical Data,Pangaea Logistics Solutions PE Ratio Historical Data,Pangaea Logistics Solutions PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.48,,12.45
2024-12-31,5.36,$0.44,12.18
2024-09-30,7.1,$0.47,15.11
2024-06-30,7.58,$0.78,9.72
2024-03-31,6.66,$0.76,8.77
2023-12-31,7.79,$0.59,13.2
2023-09-30,5.48,$0.90,6.09
2023-06-30,6.2,$0.90,6.89
2023-03-31,5.28,$1.40,3.77
2022-12-31,4.56,$1.77,2.58
2022-09-30,4.02,$1.77,2.27
2022-06-30,4.35,$1.95,2.23
2022-03-31,4.71,$1.82,2.59
2021-12-31,3.17,$1.50,2.11
2021-09-30,4.2,$1.33,3.16
2021-06-30,4.14,$0.90,4.6
2021-03-31,2.59,$0.54,4.79
2020-12-31,2.25,$0.25,9.01
2020-09-30,2.11,$0.08,26.32
2020-06-30,2.04,$0.10,20.4
2020-03-31,1.63,$0.12,13.55
2019-12-31,2.4,$0.37,6.48
2019-09-30,2.58,$0.36,7.17
2019-06-30,2.66,$0.36,7.39
2019-03-31,2.41,$0.40,6.04
2018-12-31,2.38,$0.41,5.81
2018-09-30,2.75,$0.51,5.4
2018-06-30,2.37,$0.49,4.83
2018-03-31,2.08,$0.23,9.06
2017-12-31,2.89,$0.17,17.03
2017-09-30,1.93,$0.08,24.19
2017-06-30,2.19,$0.08,27.33
2017-03-31,2.68,$0.21,12.77
2016-12-31,2.67,$0.20,13.37
2016-09-30,1.97,$0.06,32.77
2016-06-30,1.87,$-0.03,0.0
2016-03-31,1.81,$0.12,15.08
2015-12-31,2.08,$0.31,6.7
2015-09-30,2.44,$-0.41,0.0
2015-06-30,2.54,$-65.17,0.0
2015-03-31,2.15,$-65.32,0.0
2014-12-31,3.74,$-65.37,0.0
2014-09-30,7.54,$-64.51,0.0
