Aqua Metals PE Ratio Historical Data,Aqua Metals PE Ratio Historical Data,Aqua Metals PE Ratio Historical Data,Aqua Metals PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.05,,0.0
2024-09-30,3.74,$-4.76,0.0
2024-06-30,6.4,$-4.80,0.0
2024-03-31,10.76,$-5.00,0.0
2023-12-31,15.2,$-5.20,0.0
2023-09-30,22.6,$-4.20,0.0
2023-06-30,23.4,$-4.40,0.0
2023-03-31,20.0,$-4.00,0.0
2022-12-31,25.0,$-4.00,0.0
2022-09-30,15.1,$-4.20,0.0
2022-06-30,16.19,$-3.60,0.0
2022-03-31,30.2,$-5.20,0.0
2021-12-31,24.6,$-5.20,0.0
2021-09-30,41.4,$-9.00,0.0
2021-06-30,60.0,$-9.20,0.0
2021-03-31,81.0,$-8.20,0.0
2020-12-31,60.0,$-8.40,0.0
2020-09-30,18.22,$-7.40,0.0
2020-06-30,28.0,$-10.80,0.0
2020-03-31,9.0,$-13.60,0.0
2019-12-31,15.11,$-17.60,0.0
2019-09-30,34.0,$-20.60,0.0
2019-06-30,33.4,$-21.40,0.0
2019-03-31,61.4,$-23.80,0.0
2018-12-31,36.4,$-23.80,0.0
2018-09-30,51.6,$-23.20,0.0
2018-06-30,57.6,$-24.60,0.0
2018-03-31,51.8,$-26.40,0.0
2017-12-31,42.6,$-26.20,0.0
2017-09-30,137.0,$-25.80,0.0
2017-06-30,251.0,$-24.20,0.0
2017-03-31,390.8,$-19.80,0.0
2016-12-31,262.2,$-17.60,0.0
2016-09-30,177.2,$-11.60,0.0
2016-06-30,235.3,$-10.80,0.0
