Wabtec PE Ratio Historical Data,Wabtec PE Ratio Historical Data,Wabtec PE Ratio Historical Data,Wabtec PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,185.41,,30.75
2024-12-31,189.59,$6.03,31.44
2024-09-30,181.59,$6.00,30.26
2024-06-30,157.69,$5.70,27.66
2024-03-31,145.18,$5.12,28.35
2023-12-31,126.28,$4.52,27.94
2023-09-30,105.59,$4.18,25.26
2023-06-30,108.81,$3.73,29.17
2023-03-31,100.09,$3.58,27.96
2022-12-31,98.69,$3.45,28.61
2022-09-30,80.32,$3.61,22.25
2022-06-30,80.91,$3.42,23.66
2022-03-31,94.64,$3.17,29.85
2021-12-31,90.5,$2.96,30.57
2021-09-30,84.59,$2.40,35.25
2021-06-30,80.65,$2.38,33.89
2021-03-31,77.46,$2.18,35.53
2020-12-31,71.52,$2.17,32.96
2020-09-30,60.35,$2.42,24.94
2020-06-30,56.05,$2.23,25.14
2020-03-31,46.76,$2.31,20.24
2019-12-31,75.47,$1.69,44.66
2019-09-30,69.6,$1.34,51.94
2019-06-30,69.39,$1.77,39.2
2019-03-31,71.17,$2.10,33.89
2018-12-31,67.71,$3.06,22.13
2018-09-30,100.94,$3.21,31.45
2018-06-30,94.78,$3.00,31.59
2018-03-31,78.16,$2.88,27.14
2017-12-31,78.06,$2.73,28.59
2017-09-30,72.5,$2.64,27.46
2017-06-30,87.43,$2.85,30.68
2017-03-31,74.44,$3.10,24.01
2016-12-31,79.13,$3.35,23.62
2016-09-30,77.73,$3.98,19.53
2016-06-30,66.77,$4.09,16.32
2016-03-31,75.31,$4.13,18.23
2015-12-31,67.46,$4.10,16.45
2015-09-30,83.44,$4.00,20.86
2015-06-30,89.23,$3.91,22.82
2015-03-31,89.9,$3.78,23.78
2014-12-31,82.16,$3.62,22.7
2014-09-30,76.58,$3.43,22.33
2014-06-30,77.99,$3.26,23.92
2014-03-31,73.14,$3.12,23.44
2013-12-31,70.06,$3.01,23.27
2013-09-30,59.27,$2.92,20.3
2013-06-30,50.33,$2.81,17.91
2013-03-31,48.08,$2.71,17.77
2012-12-31,41.19,$2.60,15.87
2012-09-30,37.76,$2.41,15.7
2012-06-30,36.66,$2.24,16.4
2012-03-31,35.41,$1.95,18.2
2011-12-31,32.85,$1.76,18.66
2011-09-30,24.82,$1.60,15.51
2011-06-30,30.83,$1.44,21.49
2011-03-31,31.82,$1.39,22.97
2010-12-31,24.8,$1.28,19.45
2010-09-30,22.41,$1.21,18.6
2010-06-30,18.7,$1.18,15.91
2010-03-31,19.74,$1.17,16.87
2009-12-31,19.14,$1.20,16.01
