Sound Financial Bancorp PE Ratio Historical Data,Sound Financial Bancorp PE Ratio Historical Data,Sound Financial Bancorp PE Ratio Historical Data,Sound Financial Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,50.81,,47.93
2024-12-31,52.65,$1.06,49.67
2024-09-30,53.31,$1.53,34.85
2024-06-30,42.67,$1.53,27.89
2024-03-31,40.18,$2.33,17.25
2023-12-31,38.33,$2.86,13.4
2023-09-30,36.14,$3.51,10.3
2023-06-30,34.53,$4.03,8.57
2023-03-31,35.81,$3.53,10.14
2022-12-31,37.83,$3.35,11.29
2022-09-30,38.87,$2.93,13.27
2022-06-30,36.24,$2.94,12.33
2022-03-31,36.22,$3.18,11.39
2021-12-31,41.57,$3.46,12.01
2021-09-30,42.28,$4.10,10.31
2021-06-30,43.11,$4.02,10.72
2021-03-31,38.86,$3.99,9.74
2020-12-31,29.4,$3.44,8.55
2020-09-30,27.3,$2.82,9.68
2020-06-30,22.12,$2.52,8.78
2020-03-31,19.13,$2.41,7.94
2019-12-31,32.48,$2.59,12.54
2019-09-30,32.45,$2.51,12.93
2019-06-30,30.56,$2.62,11.66
2019-03-31,30.38,$2.68,11.34
2018-12-31,29.01,$2.74,10.59
2018-09-30,35.1,$2.56,13.71
2018-06-30,34.19,$2.33,14.67
2018-03-31,32.39,$2.06,15.72
2017-12-31,29.88,$1.98,15.09
2017-09-30,29.78,$2.12,14.04
2017-06-30,26.45,$2.20,12.02
2017-03-31,27.45,$2.19,12.54
2016-12-31,24.14,$2.08,11.6
2016-09-30,21.04,$1.94,10.84
2016-06-30,20.52,$1.82,11.27
2016-03-31,19.56,$1.81,10.81
2015-12-31,19.27,$1.84,10.47
2015-09-30,17.08,$1.69,10.1
2015-06-30,17.76,$1.72,10.33
2015-03-31,16.58,$1.71,9.69
2014-12-31,15.86,$1.63,9.73
2014-09-30,14.94,$1.71,8.74
2014-06-30,14.64,$1.62,9.03
2014-03-31,14.43,$1.58,9.14
2013-12-31,14.06,$1.50,9.37
2013-09-30,12.53,$1.45,8.64
2013-06-30,11.37,$1.30,8.75
2013-03-31,10.42,$1.07,9.74
2012-12-31,8.56,$0.95,9.01
2012-09-30,8.35,$0.84,9.94
2012-06-30,6.37,$0.67,9.51
2012-03-31,6.18,$0.63,9.8
2011-12-31,6.18,$0.62,9.96
2011-09-30,5.35,$0.59,9.07
2011-06-30,5.35,$0.67,7.99
2011-03-31,6.18,$0.61,10.12
2010-12-31,3.95,$0.44,8.98
2010-09-30,4.12,$0.17,24.22
2010-06-30,4.12,$0.06,68.62
2010-03-31,3.71,$-0.15,0.0
2009-12-31,3.6,$-0.12,0.0
