Esquire Financial Holdings PE Ratio Historical Data,Esquire Financial Holdings PE Ratio Historical Data,Esquire Financial Holdings PE Ratio Historical Data,Esquire Financial Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,73.42,,19.37
2024-12-31,79.5,$3.79,20.98
2024-09-30,65.07,$4.97,13.09
2024-06-30,47.38,$4.80,9.87
2024-03-31,47.1,$4.65,10.13
2023-12-31,49.42,$4.92,10.05
2023-09-30,45.08,$4.84,9.31
2023-06-30,45.02,$4.61,9.77
2023-03-31,38.36,$4.29,8.94
2022-12-31,42.35,$3.48,12.17
2022-09-30,36.67,$3.21,11.43
2022-06-30,32.45,$2.59,12.53
2022-03-31,32.67,$2.38,13.73
2021-12-31,30.62,$2.25,13.61
2021-09-30,27.86,$1.93,14.43
2021-06-30,23.04,$2.09,11.02
2021-03-31,22.17,$1.85,11.98
2020-12-31,18.65,$1.65,11.3
2020-09-30,14.58,$1.64,8.89
2020-06-30,16.43,$1.65,9.96
2020-03-31,14.63,$1.77,8.26
2019-12-31,25.34,$1.83,13.85
2019-09-30,24.11,$1.70,14.18
2019-06-30,24.45,$1.43,17.1
2019-03-31,22.12,$1.27,17.42
2018-12-31,21.09,$1.14,18.5
2018-09-30,24.26,$0.86,28.21
2018-06-30,25.65,$0.80,32.06
2018-03-31,23.72,$0.71,33.4
