Costamare PE Ratio Historical Data,Costamare PE Ratio Historical Data,Costamare PE Ratio Historical Data,Costamare PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.67,,4.37
2024-12-31,12.85,$2.44,5.27
2024-09-30,15.59,$3.01,5.18
2024-06-30,16.17,$2.83,5.71
2024-03-31,11.05,$2.58,4.28
2023-12-31,10.03,$2.95,3.4
2023-09-30,9.15,$3.66,2.5
2023-06-30,9.09,$4.10,2.22
2023-03-31,8.75,$4.50,1.94
2022-12-31,8.53,$4.27,2.0
2022-09-30,8.13,$3.98,2.04
2022-06-30,10.88,$3.96,2.75
2022-03-31,14.76,$3.71,3.98
2021-12-31,10.85,$3.27,3.32
2021-09-30,13.19,$2.19,6.02
2021-06-30,9.94,$1.46,6.81
2021-03-31,8.01,$0.09,89.05
2020-12-31,6.82,$-0.19,0.0
2020-09-30,4.93,$-0.11,0.0
2020-06-30,4.42,$-0.01,0.0
2020-03-31,3.52,$0.87,4.05
2019-12-31,7.36,$0.58,12.68
2019-09-30,4.62,$0.45,10.26
2019-06-30,3.83,$0.27,14.19
2019-03-31,3.82,$0.15,25.45
2018-12-31,3.16,$0.34,9.29
2018-09-30,4.59,$0.21,21.87
2018-06-30,5.57,$0.33,16.89
2018-03-31,4.29,$0.45,9.54
2017-12-31,3.91,$0.54,7.24
2017-09-30,4.12,$0.36,11.44
2017-06-30,4.8,$0.38,12.64
2017-03-31,4.31,$0.62,6.95
2016-12-31,3.57,$0.82,4.35
2016-09-30,5.74,$1.46,3.93
2016-06-30,4.68,$1.65,2.84
2016-03-31,5.27,$1.76,3.0
2015-12-31,5.92,$1.67,3.55
2015-09-30,6.83,$1.60,4.27
2015-06-30,10.07,$1.66,6.07
2015-03-31,9.51,$1.45,6.56
2014-12-31,9.35,$1.37,6.83
2014-09-30,11.5,$1.35,8.52
2014-06-30,12.06,$1.17,10.31
2014-03-31,10.98,$1.26,8.71
2013-12-31,9.2,$1.36,6.76
2013-09-30,8.74,$1.32,6.62
2013-06-30,8.41,$1.23,6.84
2013-03-31,7.63,$1.13,6.75
2012-12-31,6.57,$1.20,5.47
2012-09-30,7.12,$1.32,5.39
2012-06-30,6.3,$1.43,4.41
2012-03-31,6.13,$1.55,3.95
2011-12-31,6.19,$1.45,4.27
2011-09-30,5.28,$1.23,4.29
