SR Bancorp PE Ratio Historical Data,SR Bancorp PE Ratio Historical Data,SR Bancorp PE Ratio Historical Data,SR Bancorp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,11.6,,193.33
2024-12-31,11.91,$0.06,198.5
2024-09-30,11.15,$0.12,92.92
2024-06-30,9.25,$-10.07,0.0
