LPL Financial Holdings PE Ratio Historical Data,LPL Financial Holdings PE Ratio Historical Data,LPL Financial Holdings PE Ratio Historical Data,LPL Financial Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,334.45,,23.82
2024-12-31,326.51,$14.04,23.26
2024-09-30,232.41,$13.30,17.47
2024-06-30,278.61,$12.82,21.73
2024-03-31,263.25,$13.24,19.88
2023-12-31,226.55,$13.65,16.6
2023-09-30,236.21,$14.75,16.01
2023-06-30,215.83,$14.70,14.68
2023-03-31,200.6,$13.02,15.41
2022-12-31,213.93,$10.42,20.53
2022-09-30,216.01,$7.79,27.73
2022-06-30,182.19,$6.19,29.43
2022-03-31,180.19,$5.68,31.72
2021-12-31,157.66,$5.63,28.0
2021-09-30,154.15,$5.69,27.09
2021-06-30,132.51,$5.72,23.17
2021-03-31,139.32,$5.53,25.19
2020-12-31,101.96,$5.86,17.4
2020-09-30,74.8,$6.01,12.45
2020-06-30,76.26,$6.29,12.12
2020-03-31,52.77,$6.73,7.84
2019-12-31,88.98,$6.60,13.48
2019-09-30,78.77,$6.43,12.25
2019-06-30,78.45,$6.05,12.97
2019-03-31,66.78,$5.64,11.84
2018-12-31,58.37,$4.86,12.01
2018-09-30,61.41,$4.19,14.66
2018-06-30,62.16,$3.63,17.12
2018-03-31,57.71,$3.07,18.8
2017-12-31,53.79,$2.58,20.85
2017-09-30,48.31,$2.35,20.56
2017-06-30,39.56,$2.30,17.2
2017-03-31,36.89,$2.09,17.65
2016-12-31,32.4,$2.13,15.21
2016-09-30,27.35,$1.95,14.02
2016-06-30,20.41,$1.80,11.34
2016-03-31,22.24,$1.79,12.42
2015-12-31,37.78,$1.75,21.59
2015-09-30,35.03,$1.96,17.87
2015-06-30,40.71,$1.86,21.89
2015-03-31,38.17,$1.76,21.69
2014-12-31,38.56,$1.75,22.03
2014-09-30,39.63,$1.69,23.45
2014-06-30,42.59,$1.72,24.76
2014-03-31,44.76,$1.72,26.02
2013-12-31,39.91,$1.72,23.2
2013-09-30,32.34,$1.63,19.84
2013-06-30,31.72,$1.58,20.08
2013-03-31,26.98,$1.51,17.87
2012-12-31,23.47,$1.37,17.13
2012-09-30,23.68,$1.38,17.16
2012-06-30,27.9,$1.40,19.93
2012-03-31,29.52,$1.45,20.36
2011-12-31,23.76,$1.51,15.73
2011-09-30,19.78,$-0.04,0.0
