36Kr Holdings PE Ratio Historical Data,36Kr Holdings PE Ratio Historical Data,36Kr Holdings PE Ratio Historical Data,36Kr Holdings PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,3.92,,0.0
2024-06-30,6.62,$-3.40,0.0
2023-12-31,11.2,$-6.00,0.0
2023-09-30,18.79,$-6.20,0.0
2023-06-30,17.4,$-4.80,0.0
2023-03-31,22.0,$-3.20,0.0
2022-12-31,20.64,$2.00,10.32
2022-09-30,18.55,$4.60,4.03
2022-06-30,20.8,$2.00,10.4
2022-03-31,22.8,$-1.20,0.0
2021-12-31,21.1,$-6.60,0.0
2021-09-30,32.0,$-14.80,0.0
2021-06-30,49.6,$-13.40,0.0
2021-03-31,67.0,$-16.40,0.0
2020-12-31,55.8,$-20.20,0.0
