Sotherly Hotels PE Ratio Historical Data,Sotherly Hotels PE Ratio Historical Data,Sotherly Hotels PE Ratio Historical Data,Sotherly Hotels PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.8,,0.0
2024-09-30,1.21,$-0.33,0.0
2024-06-30,1.15,$-0.24,0.0
2024-03-31,1.45,$-0.21,0.0
2023-12-31,1.49,$-0.21,0.0
2023-09-30,1.69,$0.09,18.78
2023-06-30,1.89,$0.30,6.3
2023-03-31,2.0,$1.52,1.31
2022-12-31,1.81,$1.40,1.29
2022-09-30,1.88,$0.19,9.89
2022-06-30,1.74,$-0.07,0.0
2022-03-31,2.06,$-1.64,0.0
2021-12-31,2.09,$-2.11,0.0
2021-09-30,2.56,$-2.08,0.0
2021-06-30,3.0,$-2.69,0.0
2021-03-31,3.48,$-3.70,0.0
2020-12-31,2.5,$-4.09,0.0
2020-09-30,1.8,$-3.34,0.0
2020-06-30,2.52,$-2.49,0.0
2020-03-31,1.6,$-1.34,0.0
2019-12-31,6.24,$-0.45,0.0
2019-09-30,6.04,$-0.46,0.0
2019-06-30,6.16,$-0.68,0.0
2019-03-31,5.92,$-0.53,0.0
2018-12-31,4.79,$-0.43,0.0
2018-09-30,6.03,$-0.44,0.0
2018-06-30,5.75,$-0.32,0.0
2018-03-31,5.6,$-0.40,0.0
2017-12-31,5.13,$-0.25,0.0
2017-09-30,4.61,$-0.01,0.0
2017-06-30,5.2,$-0.01,0.0
2017-03-31,4.84,$0.09,53.77
2016-12-31,5.06,$-0.01,0.0
2016-09-30,3.87,$-0.00,0.0
2016-06-30,4.07,$0.40,10.17
2016-03-31,3.64,$0.41,8.89
2015-12-31,4.3,$0.43,10.0
2015-09-30,4.68,$0.42,11.15
2015-06-30,4.81,$0.11,43.76
2015-03-31,5.13,$0.19,27.02
2014-12-31,5.01,$0.22,22.79
2014-09-30,5.17,$0.27,19.15
2014-06-30,5.15,$0.14,36.76
2014-03-31,4.16,$0.05,83.2
2013-12-31,3.85,$-0.27,0.0
2013-09-30,3.05,$-0.13,0.0
2013-06-30,2.8,$-0.13,0.0
2013-03-31,2.63,$-0.41,0.0
2012-12-31,2.08,$-0.40,0.0
2012-09-30,2.53,$-0.80,0.0
2012-06-30,2.21,$-0.76,0.0
2012-03-31,1.79,$-0.62,0.0
2011-12-31,1.45,$-0.49,0.0
2011-09-30,1.3,$-0.32,0.0
2011-06-30,1.75,$-0.32,0.0
2011-03-31,1.52,$-0.27,0.0
2010-12-31,1.26,$-0.26,0.0
2010-09-30,1.55,$-0.27,0.0
2010-06-30,1.05,$-0.26,0.0
2010-03-31,1.48,$-0.27,0.0
2009-12-31,1.21,$-0.27,0.0
