Ranpak Holdings Corp PE Ratio Historical Data,Ranpak Holdings Corp PE Ratio Historical Data,Ranpak Holdings Corp PE Ratio Historical Data,Ranpak Holdings Corp PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,5.7,,0.0
2024-09-30,6.53,$-0.24,0.0
2024-06-30,6.43,$-0.18,0.0
2024-03-31,7.87,$-0.28,0.0
2023-12-31,5.82,$-0.33,0.0
2023-09-30,5.44,$-0.31,0.0
2023-06-30,4.52,$-0.38,0.0
2023-03-31,5.22,$-0.49,0.0
2022-12-31,5.77,$-0.51,0.0
2022-09-30,3.42,$-0.45,0.0
2022-06-30,7.0,$-0.36,0.0
2022-03-31,20.43,$-0.29,0.0
2021-12-31,37.58,$-0.04,0.0
2021-09-30,26.82,$-0.08,0.0
2021-06-30,25.03,$-0.14,0.0
2021-03-31,20.06,$-0.19,0.0
2020-12-31,13.44,$-0.32,0.0
2020-09-30,9.52,$-0.31,0.0
2020-06-30,7.44,$-0.26,0.0
2020-03-31,6.26,$-0.14,0.0
2019-12-31,8.15,$-0.79,0.0
2019-09-30,6.06,$-0.73,0.0
2019-06-30,8.85,$-0.65,0.0
2019-03-31,10.25,$-0.61,0.0
2018-12-31,10.03,$0.11,91.18
