FIRST US BANCSH PE Ratio Historical Data,FIRST US BANCSH PE Ratio Historical Data,FIRST US BANCSH PE Ratio Historical Data,FIRST US BANCSH PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,13.42,,9.59
2024-09-30,10.99,$1.40,7.85
2024-06-30,9.16,$1.37,6.69
2024-03-31,9.13,$1.34,6.81
2023-12-31,10.11,$1.33,7.6
2023-09-30,8.34,$1.32,6.32
2023-06-30,8.29,$1.28,6.48
2023-03-31,7.21,$1.19,6.06
2022-12-31,8.32,$1.06,7.85
2022-09-30,7.58,$0.96,7.9
2022-06-30,10.45,$0.80,13.06
2022-03-31,11.04,$0.72,15.34
2021-12-31,9.98,$0.66,15.13
2021-09-30,10.08,$0.56,18.0
2021-06-30,10.3,$0.49,21.01
2021-03-31,8.71,$0.41,21.25
2020-12-31,8.42,$0.40,21.05
2020-09-30,6.17,$0.43,14.35
2020-06-30,6.48,$0.53,12.22
2020-03-31,5.67,$0.62,9.14
2019-12-31,10.67,$0.67,15.93
2019-09-30,8.2,$0.71,11.56
2019-06-30,8.45,$0.58,14.57
2019-03-31,9.13,$0.49,18.63
2018-12-31,7.24,$0.37,19.57
2018-09-30,9.86,$-0.14,0.0
2018-06-30,10.57,$-0.07,0.0
2018-03-31,10.36,$-0.07,0.0
2017-12-31,11.57,$-0.07,0.0
2017-09-30,10.38,$0.20,51.91
2017-06-30,10.11,$0.19,53.21
2017-03-31,11.15,$0.20,55.77
2016-12-31,9.98,$0.19,52.51
2016-09-30,9.49,$0.28,33.9
2016-06-30,7.96,$0.28,28.43
2016-03-31,7.23,$0.33,21.91
2015-12-31,7.94,$0.41,19.37
2015-09-30,7.22,$0.46,15.7
2015-06-30,7.13,$0.50,14.27
2015-03-31,7.34,$0.58,12.65
2014-12-31,7.8,$0.58,13.44
2014-09-30,7.48,$0.62,12.06
2014-06-30,7.44,$0.64,11.63
2014-03-31,7.77,$0.64,12.14
2013-12-31,6.41,$0.66,9.71
2013-09-30,7.83,$0.65,12.05
2013-06-30,8.69,$0.70,12.42
2013-03-31,7.12,$0.73,9.75
2012-12-31,4.71,$0.37,12.73
2012-09-30,4.95,$-1.36,0.0
2012-06-30,4.82,$-1.78,0.0
2012-03-31,4.84,$-1.86,0.0
2011-12-31,3.66,$-1.65,0.0
2011-09-30,4.54,$-0.27,0.0
2011-06-30,4.18,$0.01,0.0
2011-03-31,7.6,$-0.20,0.0
2010-12-31,9.81,$0.35,28.03
2010-09-30,7.27,$0.48,15.15
2010-06-30,7.75,$0.59,13.14
2010-03-31,12.69,$1.13,11.23
2009-12-31,14.44,$0.79,18.28
