Comerica PE Ratio Historical Data,Comerica PE Ratio Historical Data,Comerica PE Ratio Historical Data,Comerica PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,59.02,,11.76
2024-12-31,61.85,$5.02,12.32
2024-09-30,59.28,$4.00,14.82
2024-06-30,49.89,$4.51,11.06
2024-03-31,52.94,$5.03,10.53
2023-12-31,52.97,$6.44,8.23
2023-09-30,38.95,$8.82,4.42
2023-06-30,39.07,$9.58,4.08
2023-03-31,39.38,$9.49,4.15
2022-12-31,59.65,$8.47,7.04
2022-09-30,62.79,$7.55,8.32
2022-06-30,64.26,$6.85,9.38
2022-03-31,78.47,$7.25,10.82
2021-12-31,74.94,$8.31,9.02
2021-09-30,68.78,$8.14,8.45
2021-06-30,60.38,$7.68,7.86
2021-03-31,60.15,$6.16,9.76
2020-12-31,46.39,$3.27,14.19
2020-09-30,31.36,$3.63,8.64
2020-06-30,30.72,$4.15,7.4
2020-03-31,23.25,$5.29,4.4
2019-12-31,55.78,$7.86,7.1
2019-09-30,50.83,$7.89,6.44
2019-06-30,55.38,$7.79,7.11
2019-03-31,55.37,$7.72,7.17
2018-12-31,51.45,$7.20,7.15
2018-09-30,66.99,$5.95,11.26
2018-06-30,67.09,$5.35,12.54
2018-03-31,70.53,$4.61,15.3
2017-12-31,63.63,$4.13,15.41
2017-09-30,55.7,$4.42,12.6
2017-06-30,53.26,$4.00,13.31
2017-03-31,49.7,$3.45,14.4
2016-12-31,49.2,$2.68,18.36
2016-09-30,34.07,$2.47,13.79
2016-06-30,29.46,$2.37,12.43
2016-03-31,26.99,$2.52,10.71
2015-12-31,29.65,$2.91,10.19
2015-09-30,28.98,$3.00,9.66
2015-06-30,36.01,$3.08,11.69
2015-03-31,31.54,$3.15,10.01
2014-12-31,32.59,$3.15,10.35
2014-09-30,34.54,$2.97,11.63
2014-06-30,34.61,$2.93,11.81
2014-03-31,35.6,$2.89,12.32
2013-12-31,32.55,$2.86,11.38
2013-09-30,26.81,$2.92,9.18
2013-06-30,27.06,$2.75,9.84
2013-03-31,24.31,$2.72,8.94
2012-12-31,20.42,$2.68,7.62
2012-09-30,20.79,$2.48,8.38
2012-06-30,20.47,$2.38,8.6
2012-03-31,21.46,$2.18,9.84
2011-12-31,17.05,$2.09,8.16
2011-09-30,15.12,$2.14,7.07
2011-06-30,22.67,$1.96,11.56
2011-03-31,24.0,$1.82,13.19
2010-12-31,27.54,$0.79,34.86
2010-09-30,24.16,$-0.15,0.0
2010-06-30,23.92,$-0.58,0.0
2010-03-31,24.68,$-1.07,0.0
2009-12-31,19.16,$-0.77,0.0
