IBM PE Ratio Historical Data,IBM PE Ratio Historical Data,IBM PE Ratio Historical Data,IBM PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,243.32,,37.96
2024-12-31,219.83,$6.41,34.29
2024-09-30,219.34,$6.87,31.93
2024-06-30,170.11,$9.07,18.75
2024-03-31,185.95,$8.83,21.06
2023-12-31,157.84,$8.13,19.41
2023-09-30,133.89,$7.54,17.76
2023-06-30,126.22,$2.16,58.44
2023-03-31,121.99,$1.97,61.92
2022-12-31,129.51,$1.76,73.58
2022-09-30,107.92,$1.37,78.77
2022-06-30,126.63,$6.16,20.56
2022-03-31,115.2,$6.10,18.88
2021-12-31,116.99,$6.35,18.42
2021-09-30,114.57,$5.29,21.66
2021-06-30,119.5,$5.93,20.15
2021-03-31,107.42,$5.98,17.96
2020-12-31,100.13,$6.23,16.07
2020-09-30,95.44,$8.83,10.81
2020-06-30,93.51,$8.81,10.61
2020-03-31,84.75,$10.10,8.39
2019-12-31,101.34,$10.57,9.59
2019-09-30,108.66,$8.61,12.62
2019-06-30,101.87,$9.68,10.52
2019-03-31,103.0,$9.48,10.86
2018-12-31,82.01,$9.51,8.62
2018-09-30,107.72,$6.22,17.32
2018-06-30,98.45,$6.20,15.88
2018-03-31,106.95,$6.07,17.62
2017-12-31,105.87,$6.11,17.33
2017-09-30,99.13,$11.97,8.28
2017-06-30,104.01,$12.03,8.65
2017-03-31,116.6,$12.16,9.59
2016-12-31,110.26,$12.40,8.89
2016-09-30,104.58,$12.27,8.52
2016-06-30,99.07,$12.30,8.05
2016-03-31,97.92,$13.19,7.42
2015-12-31,88.08,$13.45,6.55
2015-09-30,91.92,$14.37,6.4
2015-06-30,102.28,$11.38,8.99
2015-03-31,100.16,$12.00,8.35
2014-12-31,99.42,$11.94,8.33
2014-09-30,116.84,$12.16,9.61
2014-06-30,110.91,$15.82,7.01
2014-03-31,117.1,$14.61,8.01
2013-12-31,113.49,$15.02,7.56
2013-09-30,111.45,$14.42,7.73
2013-06-30,114.44,$14.07,8.13
2013-03-31,127.14,$14.50,8.77
2012-12-31,113.7,$14.41,7.89
2012-09-30,122.59,$13.90,8.82
2012-06-30,115.08,$13.76,8.36
2012-03-31,122.26,$13.42,9.11
2011-12-31,107.33,$13.12,8.18
2011-09-30,101.66,$12.68,8.02
2011-06-30,99.28,$12.31,8.07
2011-03-31,93.96,$11.92,7.88
2010-12-31,84.23,$11.58,7.27
2010-09-30,76.65,$10.99,6.97
2010-06-30,70.21,$10.57,6.64
2010-03-31,72.54,$10.28,7.06
2009-12-31,73.7,$10.01,7.36
