Fresh Del Monte Produce PE Ratio Historical Data,Fresh Del Monte Produce PE Ratio Historical Data,Fresh Del Monte Produce PE Ratio Historical Data,Fresh Del Monte Produce PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,29.93,,10.08
2024-12-31,33.21,$2.97,11.18
2024-09-30,29.32,$0.33,88.85
2024-06-30,21.49,$-0.38,0.0
2024-03-31,25.22,$-0.51,0.0
2023-12-31,25.3,$-0.25,0.0
2023-09-30,24.7,$2.35,10.51
2023-06-30,24.39,$2.87,8.5
2023-03-31,28.35,$2.32,12.22
2022-12-31,24.54,$2.05,11.97
2022-09-30,21.66,$1.43,15.14
2022-06-30,27.38,$0.77,35.56
2022-03-31,23.88,$1.32,18.09
2021-12-31,25.29,$1.68,15.06
2021-09-30,29.37,$1.94,15.14
2021-06-30,29.83,$2.28,13.08
2021-03-31,25.9,$1.67,15.51
2020-12-31,21.7,$1.04,20.87
2020-09-30,20.57,$0.48,42.86
2020-06-30,22.05,$0.49,45.01
2020-03-31,24.68,$0.89,27.73
2019-12-31,31.16,$1.36,22.91
2019-09-30,30.31,$1.20,25.25
2019-06-30,23.89,$0.38,62.87
2019-03-31,23.96,$-0.56,0.0
2018-12-31,25.06,$-0.45,0.0
2018-09-30,29.9,$0.12,249.19
2018-06-30,39.16,$0.79,49.56
2018-03-31,39.64,$2.31,17.16
2017-12-31,41.63,$2.36,17.64
2017-09-30,39.58,$2.72,14.55
2017-06-30,44.18,$3.17,13.94
2017-03-31,51.26,$3.67,13.97
2016-12-31,52.34,$4.34,12.06
2016-09-30,51.59,$2.72,18.97
2016-06-30,46.76,$2.58,18.12
2016-03-31,36.05,$1.93,18.68
2015-12-31,33.22,$1.16,28.64
2015-09-30,33.66,$2.54,13.25
2015-06-30,32.83,$2.35,13.97
2015-03-31,32.93,$2.29,14.38
2014-12-31,28.29,$2.53,11.18
2014-09-30,26.8,$-0.08,0.0
2014-06-30,25.65,$-0.32,0.0
2014-03-31,22.97,$-0.37,0.0
2013-12-31,23.47,$-0.70,0.0
2013-09-30,24.5,$1.92,12.76
2013-06-30,22.92,$2.21,10.37
2013-03-31,22.07,$2.10,10.51
2012-12-31,21.45,$2.47,8.69
2012-09-30,20.76,$2.30,9.03
2012-06-30,18.96,$2.11,8.98
2012-03-31,18.37,$1.71,10.75
2011-12-31,20.03,$1.56,12.84
2011-09-30,18.51,$1.57,11.79
2011-06-30,21.19,$1.60,13.24
2011-03-31,20.7,$1.35,15.34
2010-12-31,19.74,$0.99,19.94
2010-09-30,17.13,$1.59,10.78
2010-06-30,15.98,$1.80,8.88
2010-03-31,15.99,$2.28,7.01
2009-12-31,17.45,$2.26,7.72
