Oncobiologics PE Ratio Historical Data,Oncobiologics PE Ratio Historical Data,Oncobiologics PE Ratio Historical Data,Oncobiologics PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.48,,0.0
2024-12-31,1.89,$-7.42,0.0
2024-09-30,5.34,$-8.94,0.0
2024-06-30,7.38,$-10.70,0.0
2024-03-31,11.94,$-11.41,0.0
2023-12-31,7.88,$-4.00,0.0
2023-09-30,4.42,$-4.80,0.0
2023-06-30,34.8,$-3.80,0.0
2023-03-31,21.8,$-3.80,0.0
2022-12-31,21.6,$-5.00,0.0
2022-09-30,24.4,$-5.00,0.0
2022-06-30,20.4,$-6.60,0.0
2022-03-31,35.6,$-6.40,0.0
2021-12-31,27.2,$-6.40,0.0
2021-09-30,43.4,$-7.20,0.0
2021-06-30,49.8,$-5.60,0.0
2021-03-31,45.0,$-4.80,0.0
2020-12-31,26.0,$-10.20,0.0
2020-09-30,14.4,$-20.20,0.0
2020-06-30,25.8,$-25.00,0.0
2020-03-31,12.02,$-28.40,0.0
2019-12-31,11.8,$-40.80,0.0
2019-09-30,29.8,$-49.20,0.0
2019-06-30,41.6,$-44.40,0.0
2019-03-31,148.0,$-82.00,0.0
2018-12-31,80.0,$-116.80,0.0
2018-09-30,156.8,$-209.60,0.0
2018-06-30,135.18,$-209.60,0.0
2018-03-31,142.4,$-203.20,0.0
2017-12-31,208.0,$-209.60,0.0
2017-09-30,219.2,$-227.20,0.0
2017-06-30,160.0,$-227.20,0.0
2017-03-31,428.8,$-448.00,0.0
