Brilliant Earth PE Ratio Historical Data,Brilliant Earth PE Ratio Historical Data,Brilliant Earth PE Ratio Historical Data,Brilliant Earth PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.47,,147.0
2024-12-31,2.1,$0.01,210.0
2024-09-30,2.14,$0.03,71.33
2024-06-30,2.22,$0.06,37.0
2024-03-31,2.99,$0.06,49.83
2023-12-31,3.72,$0.05,74.4
2023-09-30,2.95,$0.08,36.88
2023-06-30,3.88,$0.11,35.27
2023-03-31,3.91,$0.13,30.08
2022-12-31,4.31,$0.16,26.94
2022-09-30,5.73,$0.20,28.65
2022-06-30,4.75,$0.16,29.69
