Allied Gaming & Entertainment PE Ratio Historical Data,Allied Gaming & Entertainment PE Ratio Historical Data,Allied Gaming & Entertainment PE Ratio Historical Data,Allied Gaming & Entertainment PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.14,,0.0
2024-09-30,1.37,$-0.27,0.0
2024-06-30,1.27,$-0.16,0.0
2024-03-31,1.01,$-0.09,0.0
2023-12-31,1.06,$-0.10,0.0
2023-09-30,0.91,$-0.07,0.0
2023-06-30,1.05,$-0.11,0.0
2023-03-31,1.21,$-0.18,0.0
2022-12-31,1.05,$-0.23,0.0
2022-09-30,1.17,$-0.40,0.0
2022-06-30,1.43,$1.54,0.93
2022-03-31,1.73,$1.56,1.11
2021-12-31,1.71,$1.57,1.09
2021-09-30,1.77,$1.74,1.02
2021-06-30,2.3,$-0.38,0.0
2021-03-31,2.88,$-0.73,0.0
2020-12-31,1.58,$-1.01,0.0
2020-09-30,1.26,$-1.14,0.0
2020-06-30,2.11,$-1.16,0.0
2020-03-31,1.57,$-0.78,0.0
2019-12-31,2.6,$-0.47,0.0
2019-09-30,5.23,$-0.42,0.0
2019-06-30,10.25,$-0.20,0.0
2019-03-31,10.21,$-0.18,0.0
2018-12-31,10.04,$-0.15,0.0
2018-09-30,9.85,$-0.07,0.0
