Key Tronic PE Ratio Historical Data,Key Tronic PE Ratio Historical Data,Key Tronic PE Ratio Historical Data,Key Tronic PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,2.78,,0.0
2024-12-31,4.17,$-0.57,0.0
2024-09-30,5.72,$-0.01,0.0
2024-06-30,4.05,$-0.08,0.0
2024-03-31,4.66,$0.02,233.0
2023-12-31,4.32,$0.41,10.54
2023-09-30,4.47,$0.40,11.18
2023-06-30,5.67,$0.48,11.81
2023-03-31,7.27,$0.47,15.47
2022-12-31,4.33,$0.38,11.39
2022-09-30,4.04,$0.34,11.88
2022-06-30,4.41,$0.30,14.7
2022-03-31,5.65,$0.23,24.57
2021-12-31,6.26,$0.22,28.43
2021-09-30,6.5,$0.31,20.97
2021-06-30,6.52,$0.40,16.3
2021-03-31,7.71,$0.52,14.83
2020-12-31,6.9,$0.52,13.27
2020-09-30,9.85,$0.46,21.41
2020-06-30,5.3,$0.44,12.05
2020-03-31,2.91,$0.38,7.66
2019-12-31,5.44,$-0.81,0.0
2019-09-30,6.35,$-0.74,0.0
2019-06-30,4.98,$-0.73,0.0
2019-03-31,6.17,$-0.69,0.0
2018-12-31,5.65,$0.48,11.77
2018-09-30,7.65,$0.31,24.68
2018-06-30,7.58,$0.20,37.9
2018-03-31,6.96,$0.20,34.8
2017-12-31,6.82,$0.23,29.65
2017-09-30,7.21,$0.39,18.49
2017-06-30,7.09,$0.51,13.9
2017-03-31,7.34,$0.59,12.44
2016-12-31,7.82,$0.66,11.85
2016-09-30,7.45,$0.68,10.96
2016-06-30,7.53,$0.59,12.76
2016-03-31,7.15,$0.60,11.92
2015-12-31,7.6,$0.60,12.67
2015-09-30,10.02,$0.58,17.28
2015-06-30,10.87,$0.37,29.38
2015-03-31,10.76,$0.28,38.43
2014-12-31,7.94,$0.25,31.76
2014-09-30,10.57,$0.39,27.1
2014-06-30,10.48,$0.69,15.19
2014-03-31,10.42,$0.79,13.19
2013-12-31,11.02,$0.92,11.98
2013-09-30,10.29,$0.97,10.61
2013-06-30,10.35,$1.16,8.92
2013-03-31,11.46,$1.29,8.88
2012-12-31,10.24,$1.35,7.59
2012-09-30,9.92,$1.32,7.52
2012-06-30,8.24,$1.09,7.56
2012-03-31,9.47,$0.89,10.64
2011-12-31,4.69,$0.64,7.33
2011-09-30,3.46,$0.51,6.78
2011-06-30,4.56,$0.56,8.14
2011-03-31,5.01,$0.63,7.95
2010-12-31,5.22,$0.99,5.27
2010-09-30,5.95,$0.99,6.01
2010-06-30,5.15,$0.85,6.06
2010-03-31,5.15,$0.66,7.8
2009-12-31,3.85,$0.26,14.81
