Adams Resources & Energy PE Ratio Historical Data,Adams Resources & Energy PE Ratio Historical Data,Adams Resources & Energy PE Ratio Historical Data,Adams Resources & Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2024-12-20,37.3,,0.0
2024-09-30,26.83,$-3.16,0.0
2024-06-30,27.55,$-0.52,0.0
2024-03-31,28.27,$0.67,42.19
2023-12-31,25.29,$0.07,361.25
2023-09-30,32.27,$-1.89,0.0
2023-06-30,33.45,$-2.27,0.0
2023-03-31,36.31,$-2.03,0.0
2022-12-31,36.62,$0.15,244.13
2022-09-30,27.86,$3.09,9.02
2022-06-30,29.84,$2.95,10.12
2022-03-31,35.46,$3.49,10.16
2021-12-31,25.44,$3.47,7.33
2021-09-30,27.54,$3.55,7.76
2021-06-30,24.91,$4.01,6.21
2020-12-31,21.33,$0.22,96.96
2020-09-30,17.46,$-0.52,0.0
2020-06-30,23.22,$-0.58,0.0
2020-03-31,20.21,$-1.25,0.0
2019-12-31,32.46,$1.44,22.54
2021-03-31,24.98,$1.97,12.68
2019-09-30,26.24,$0.40,65.59
2019-06-30,28.78,$0.73,39.43
2019-03-31,32.57,$1.59,20.48
2018-12-31,32.1,$0.70,45.85
2018-09-30,35.01,$2.49,14.06
2018-06-30,35.28,$1.29,27.35
2018-03-31,35.52,$0.36,98.66
2017-12-31,35.33,$-0.11,0.0
2017-09-30,33.56,$-1.03,0.0
2017-06-30,33.01,$-0.82,0.0
2017-03-31,29.85,$0.06,497.51
2016-12-31,31.49,$0.60,52.49
2016-09-30,31.06,$-1.35,0.0
2016-06-30,30.23,$-0.91,0.0
2016-03-31,31.21,$-0.99,0.0
2015-12-31,29.79,$-2.91,0.0
2015-09-30,31.65,$-0.00,0.0
2015-03-31,51.35,$1.01,50.85
2014-12-31,38.04,$1.55,24.54
2014-09-30,33.56,$3.15,10.66
2014-06-30,59.01,$3.26,18.1
2014-03-31,43.59,$4.02,10.84
2013-12-31,51.39,$4.03,12.75
2015-06-30,34.25,$5.91,5.8
2013-09-30,41.49,$6.67,6.22
2013-06-30,51.31,$6.93,7.4
2013-03-31,37.85,$6.93,5.46
2012-12-31,26.03,$6.59,3.95
2012-09-30,22.21,$5.93,3.75
2012-06-30,30.53,$6.11,5.0
2012-03-31,41.64,$5.68,7.33
2011-12-31,21.2,$5.44,3.9
2011-09-30,14.32,$4.88,2.93
2011-06-30,18.05,$3.40,5.31
2011-03-31,20.51,$2.94,6.98
2010-12-31,17.32,$2.05,8.45
2010-09-30,12.36,$1.22,10.13
2010-06-30,12.53,$0.71,17.65
2010-03-31,12.18,$0.97,12.56
2009-12-31,15.35,$0.98,15.67
