SL Green Realty PE Ratio Historical Data,SL Green Realty PE Ratio Historical Data,SL Green Realty PE Ratio Historical Data,SL Green Realty PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,58.27,,728.38
2024-12-31,67.92,$0.08,849.0
2024-09-30,69.16,$-2.50,0.0
2024-06-30,55.65,$-2.67,0.0
2024-03-31,53.67,$-8.26,0.0
2023-12-31,43.3,$-9.09,0.0
2023-09-30,34.99,$-7.65,0.0
2023-06-30,27.59,$-7.16,0.0
2023-03-31,20.9,$-2.23,0.0
2022-12-31,29.18,$-1.49,0.0
2022-09-30,33.95,$-1.30,0.0
2022-06-30,38.2,$4.52,8.46
2022-03-31,66.14,$6.77,9.77
2021-12-31,59.48,$6.55,9.08
2021-09-30,56.29,$9.85,5.71
2021-06-30,62.78,$4.13,15.21
2021-03-31,54.29,$3.36,16.17
2020-12-31,46.94,$5.03,9.33
2020-09-30,34.72,$2.78,12.49
2020-06-30,36.23,$3.00,12.07
2020-03-31,31.12,$4.27,7.28
2019-12-31,65.91,$3.27,20.17
2019-09-30,58.08,$2.26,25.71
2019-06-30,56.52,$2.93,19.3
2019-03-31,62.56,$2.13,29.34
2018-12-31,54.5,$2.77,19.69
2018-09-30,67.22,$3.85,17.46
2018-06-30,68.71,$3.18,21.59
2018-03-31,65.65,$2.00,32.75
2017-12-31,67.86,$0.93,72.7
2017-09-30,67.58,$1.09,61.85
2017-06-30,70.03,$1.03,68.06
2017-03-31,70.06,$2.35,29.75
2016-12-31,70.15,$2.48,28.26
2016-09-30,70.0,$3.09,22.68
2016-06-30,68.49,$4.47,15.34
2016-03-31,61.88,$2.64,23.43
2015-12-31,71.63,$2.86,25.01
2015-09-30,68.14,$2.42,28.18
2015-06-30,68.85,$1.40,49.17
2015-03-31,80.0,$4.42,18.09
2014-12-31,73.82,$5.58,13.23
2014-09-30,62.53,$5.37,11.65
2014-06-30,67.2,$5.07,13.25
2014-03-31,61.52,$2.56,24.06
2013-12-31,56.2,$1.16,48.6
2013-09-30,53.75,$0.98,55.07
2013-06-30,53.16,$0.65,82.14
2013-03-31,51.71,$1.76,29.37
2012-12-31,45.86,$1.85,24.85
2012-09-30,47.69,$1.64,29.01
2012-06-30,47.65,$1.63,29.17
2012-03-31,45.9,$6.96,6.6
2011-12-31,39.32,$7.72,5.09
2011-09-30,34.18,$7.79,4.39
2011-06-30,48.62,$9.21,5.28
2011-03-31,44.07,$4.53,9.73
2010-12-31,39.51,$3.66,10.8
2010-09-30,37.01,$3.49,10.61
2010-06-30,32.11,$1.95,16.45
2010-03-31,33.36,$0.29,116.51
2009-12-31,29.21,$0.69,42.37
