HighPeak Energy PE Ratio Historical Data,HighPeak Energy PE Ratio Historical Data,HighPeak Energy PE Ratio Historical Data,HighPeak Energy PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,12.52,,20.52
2024-12-31,14.7,$0.61,24.1
2024-09-30,13.88,$1.27,10.93
2024-06-30,14.06,$1.20,11.72
2024-03-31,15.77,$1.24,12.72
2023-12-31,14.24,$1.58,9.01
2023-09-30,16.88,$1.45,11.64
2023-06-30,10.88,$2.02,5.39
2023-03-31,23.0,$2.41,9.54
2022-12-31,22.87,$1.85,12.36
2022-09-30,21.66,$1.67,12.97
2022-06-30,25.59,$0.90,28.44
2022-03-31,22.16,$0.32,69.24
2021-12-31,14.59,$0.54,27.02
2021-09-30,8.95,$0.14,63.94
2021-06-30,10.08,$0.06,168.04
2021-03-31,5.96,0,0.0
2020-12-31,15.74,$-0.05,0.0
2020-09-30,6.95,0,0.0
2020-06-30,10.36,0,0.0
2020-03-31,10.24,$0.05,204.81
2019-12-31,10.22,$0.09,113.56
2019-09-30,10.1,$0.14,72.16
2019-06-30,9.99,$0.18,55.52
2019-03-31,9.91,$0.16,61.91
