Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data,Roper Technologies PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,575.45,,40.13
2024-12-31,519.85,$14.34,36.25
2024-09-30,555.67,$13.67,40.65
2024-06-30,562.13,$13.50,41.64
2024-03-31,558.53,$13.78,40.53
2023-12-31,542.16,$12.89,42.06
2023-09-30,480.93,$27.34,17.59
2023-06-30,476.8,$27.17,17.55
2023-03-31,436.34,$26.29,16.6
2022-12-31,427.17,$42.58,10.03
2022-09-30,354.96,$27.22,13.04
2022-06-30,388.92,$26.87,14.47
2022-03-31,464.77,$27.04,17.19
2021-12-31,483.44,$10.83,44.64
2021-09-30,437.95,$10.54,41.55
2021-06-30,461.04,$10.04,45.92
2021-03-31,394.94,$9.43,41.88
2020-12-31,421.56,$8.98,46.94
2020-09-30,385.88,$14.85,25.99
2020-06-30,378.69,$15.28,24.78
2020-03-31,303.62,$15.58,19.49
2019-12-31,344.44,$16.83,20.47
2019-09-30,346.28,$11.01,31.45
2019-06-30,355.22,$10.74,33.07
2019-03-31,331.22,$10.55,31.4
2018-12-31,258.14,$9.05,28.52
2018-09-30,286.5,$10.86,26.38
2018-06-30,266.47,$10.33,25.8
2018-03-31,270.67,$9.88,27.4
2017-12-31,249.37,$9.38,26.59
2017-09-30,234.02,$6.89,33.97
2017-06-30,222.28,$6.68,33.28
2017-03-31,197.9,$6.48,30.54
2016-12-31,175.14,$6.43,27.24
2016-09-30,174.27,$6.70,26.01
2016-06-30,162.6,$6.65,24.45
2016-03-31,173.95,$6.80,25.58
2015-12-31,180.33,$6.86,26.29
2015-09-30,148.67,$6.65,22.36
2015-06-30,163.39,$6.61,24.72
2015-03-31,162.71,$6.48,25.11
2014-12-31,147.66,$6.40,23.07
2014-09-30,137.97,$6.21,22.22
2014-06-30,137.52,$6.03,22.81
2014-03-31,125.56,$5.58,22.5
2013-12-31,130.23,$5.37,24.25
2013-09-30,124.61,$5.16,24.15
2013-06-30,116.35,$4.97,23.41
2013-03-31,119.09,$5.01,23.77
2012-12-31,104.28,$4.85,21.5
2012-09-30,102.51,$4.64,22.09
2012-06-30,91.83,$4.59,20.01
2012-03-31,92.23,$4.52,20.41
2011-12-31,80.68,$4.34,18.59
2011-09-30,63.9,$4.21,15.18
2011-06-30,77.14,$3.96,19.48
2011-03-31,79.97,$3.62,22.09
2010-12-31,70.59,$3.33,21.2
2010-09-30,60.11,$3.00,20.04
2010-06-30,51.52,$2.74,18.8
2010-03-31,53.17,$2.64,20.14
2009-12-31,48.05,$2.58,18.63
