Mvb Financial PE Ratio Historical Data,Mvb Financial PE Ratio Historical Data,Mvb Financial PE Ratio Historical Data,Mvb Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,17.52,,21.63
2024-12-31,20.7,$0.81,25.56
2024-09-30,19.21,$1.42,13.53
2024-06-30,18.35,$1.55,11.84
2024-03-31,21.76,$1.87,11.64
2023-12-31,21.83,$2.40,9.1
2023-09-30,21.67,$2.29,9.46
2023-06-30,20.08,$2.21,9.09
2023-03-31,19.48,$1.81,10.76
2022-12-31,20.65,$1.16,17.8
2022-09-30,25.91,$1.43,18.12
2022-06-30,28.81,$2.14,13.46
2022-03-31,38.26,$2.64,14.49
2021-12-31,38.11,$3.08,12.37
2021-09-30,39.17,$3.28,11.94
2021-06-30,38.88,$2.89,13.45
2021-03-31,30.72,$3.65,8.42
2020-12-31,20.55,$3.07,6.69
2020-09-30,14.41,$2.42,5.95
2020-06-30,11.92,$2.24,5.32
2020-03-31,11.36,$1.93,5.88
2019-12-31,22.09,$2.11,10.47
2019-09-30,17.54,$2.03,8.64
2019-06-30,14.94,$1.97,7.59
2019-03-31,13.4,$1.04,12.89
2018-12-31,15.82,$1.01,15.66
2018-09-30,15.8,$0.89,17.75
