Ares Commercial Real Estate PE Ratio Historical Data,Ares Commercial Real Estate PE Ratio Historical Data,Ares Commercial Real Estate PE Ratio Historical Data,Ares Commercial Real Estate PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.92,,0.0
2024-12-31,5.89,$-0.65,0.0
2024-09-30,7.0,$-1.18,0.0
2024-06-30,6.42,$-0.90,0.0
2024-03-31,6.93,$-0.83,0.0
2023-12-31,9.32,$-0.72,0.0
2023-09-30,8.31,$0.06,138.51
2023-06-30,8.56,$-0.10,0.0
2023-03-31,7.41,$0.14,52.95
2022-12-31,8.08,$0.60,13.46
2022-09-30,7.93,$0.91,8.71
2022-06-30,8.97,$1.11,8.08
2022-03-31,11.06,$1.34,8.26
2021-12-31,10.13,$1.45,6.99
2021-09-30,10.26,$1.52,6.75
2021-06-30,9.77,$1.75,5.58
2021-03-31,8.91,$1.61,5.53
2020-12-31,7.54,$0.62,12.17
2020-09-30,5.63,$0.52,10.83
2020-06-30,5.42,$0.39,13.91
2020-03-31,4.01,$0.44,9.11
2019-12-31,8.69,$1.28,6.79
2019-09-30,8.18,$1.30,6.29
2019-06-30,7.81,$1.34,5.83
2019-03-31,7.81,$1.33,5.87
2018-12-31,6.56,$1.36,4.83
2018-09-30,6.87,$1.23,5.58
2018-06-30,6.65,$1.27,5.24
2018-03-31,5.83,$1.18,4.94
2017-12-31,5.95,$1.08,5.51
2017-09-30,6.02,$1.14,5.28
2017-06-30,5.8,$1.40,4.14
2017-03-31,5.81,$1.47,3.95
2016-12-31,5.85,$1.42,4.12
2016-09-30,5.26,$1.45,3.63
2016-06-30,5.03,$1.13,4.45
2016-03-31,4.39,$1.13,3.88
2015-12-31,4.48,$1.20,3.73
2015-09-30,4.6,$1.20,3.83
2015-06-30,4.28,$1.01,4.24
2015-03-31,4.06,$0.93,4.37
2014-12-31,4.13,$0.85,4.85
2014-09-30,4.11,$0.66,6.23
2014-06-30,4.28,$0.79,5.41
2014-03-31,4.53,$0.88,5.15
2013-12-31,4.34,$0.75,5.79
2013-09-30,4.04,$0.75,5.39
2013-06-30,4.09,$0.42,9.73
2013-03-31,5.22,$0.07,74.5
