IMMURON PE Ratio Historical Data,IMMURON PE Ratio Historical Data,IMMURON PE Ratio Historical Data,IMMURON PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,1.81,,inf
2024-12-31,1.7,0.0,0.0
2024-06-30,2.42,0.0,0.0
2023-12-31,1.88,0.0,0.0
2023-06-30,2.02,0.0,0.0
2022-12-31,2.08,0.0,0.0
2022-06-30,2.14,0.0,0.0
2021-12-31,2.5,0.0,0.0
2021-06-30,4.85,0.0,0.0
2020-12-31,6.37,0.0,0.0
2020-06-30,7.43,0.0,0.0
2019-12-31,3.63,0.0,0.0
2019-06-30,3.19,0.0,0.0
2018-12-31,5.8,0.0,0.0
