ReShape Lifesciences PE Ratio Historical Data,ReShape Lifesciences PE Ratio Historical Data,ReShape Lifesciences PE Ratio Historical Data,ReShape Lifesciences PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,0.7,,0.0
2024-09-30,5.65,$-11.83,0.0
2024-06-30,11.11,$-68.02,0.0
2024-03-31,10.7,$-127.33,0.0
2023-12-31,14.48,$-212.79,0.0
2023-09-30,19.6,$-212.79,0.0
2023-06-30,85.84,"$-1,665.12",0.0
2023-03-31,149.06,"$-3,055.81",0.0
2022-12-31,390.92,"$-4,244.19",0.0
2022-09-30,870.87,"$-11,482.56",0.0
2022-06-30,1672.72,"$-14,273.26",0.0
2022-03-31,3422.0,"$-14,186.05",0.0
2021-12-31,4756.0,"$-16,744.57",0.0
2021-09-30,8352.0,"$-10,988.90",0.0
2021-06-30,14500.0,"$-8,430.94",0.0
2021-03-31,24534.0,"$-11,774.43",0.0
2020-12-31,13050.0,"$-13,867.67",0.0
2020-09-30,7920.48,"$-17,966.91",0.0
2020-06-30,6138.72,"$-21,542.85",0.0
2020-03-31,6264.0,"$-38,637.59",0.0
2019-12-31,16530.0,"$-64,105.25",0.0
2019-09-30,16878.0,"$-92,538.33",0.0
2019-06-30,60821.7,"$-117,744.34",0.0
2019-03-31,125279.99,"$-46,225.56",0.0
2018-12-31,180089.99,"$-76,751.87",0.0
2018-09-30,234899.99,"$-95,067.65",0.0
2018-06-30,187049.99,"$-112,511.25",0.0
2018-03-31,298409.98,"$-202,345.81",0.0
2017-12-31,575069.97,"$-181,413.48",0.0
2017-09-30,829109.95,"$-173,563.86",0.0
2017-06-30,862169.95,"$-601,804.35",0.0
2017-03-31,930029.94,"$-561,684.06",0.0
2016-12-31,769949.95,"$-520,691.59",0.0
2016-09-30,19845.0,"$-476,210.40",0.0
2016-06-30,42630.0,0,0.0
2016-03-31,142149.01,0,0.0
2015-12-31,286870.39,0,0.0
