Nordstrom PE Ratio Historical Data,Nordstrom PE Ratio Historical Data,Nordstrom PE Ratio Historical Data,Nordstrom PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,24.31,,14.13
2025-01-31,24.2,$1.72,14.07
2024-10-31,22.43,$1.57,14.28
2024-07-31,22.46,$1.71,13.13
2024-04-30,18.7,$1.83,10.22
2024-01-31,17.66,$0.80,22.08
2023-10-31,13.44,$0.72,18.66
2023-07-31,21.94,$0.18,121.9
2023-04-30,14.51,$0.11,131.88
2023-01-31,18.13,$1.51,12.01
2022-10-31,18.7,$2.00,9.35
2022-07-31,21.38,$2.52,8.49
2022-04-30,23.21,$2.24,10.36
2022-01-31,20.18,$1.06,19.04
2021-10-31,25.77,$0.04,644.16
2021-07-31,29.69,$-0.01,0.0
2021-04-30,32.9,$-2.12,0.0
2021-01-31,31.79,$-4.40,0.0
2020-10-31,10.85,$-3.38,0.0
2020-07-31,12.28,$-2.91,0.0
2020-04-30,16.84,$-0.39,0.0
2020-01-31,32.61,$3.17,10.29
2019-10-31,31.45,$3.42,9.2
2019-07-31,28.65,$3.00,9.55
2019-04-30,35.08,$3.05,11.5
2019-01-31,39.35,$3.33,11.82
2018-10-31,55.37,$2.74,20.21
2018-07-31,43.86,$3.02,14.52
2018-04-30,42.01,$2.72,15.45
2018-01-31,40.69,$2.58,15.77
2017-10-31,32.42,$2.84,11.42
2017-07-31,39.39,$2.11,18.67
2017-04-30,38.8,$2.13,18.21
2017-01-31,35.27,$2.02,17.46
2016-10-31,41.21,$1.87,22.04
2016-07-31,34.8,$2.35,14.81
2016-04-30,39.84,$2.77,14.38
2016-01-31,37.99,$3.17,11.99
2015-10-31,50.14,$3.49,14.37
2015-07-31,54.49,$3.80,14.34
2015-04-30,53.69,$3.66,14.67
2015-01-31,53.9,$3.72,14.49
2014-10-31,51.13,$3.77,13.56
2014-07-31,48.75,$3.73,13.07
2014-04-30,42.74,$3.71,11.52
2014-01-31,39.86,$3.72,10.71
2013-10-31,41.75,$3.75,11.13
2013-07-31,42.06,$3.77,11.16
2013-04-30,38.67,$3.59,10.77
2013-01-31,37.53,$3.56,10.54
2012-10-31,38.39,$3.27,11.74
2012-07-31,36.44,$3.15,11.57
2012-04-30,37.4,$3.20,11.69
2012-01-31,32.9,$3.15,10.44
2011-10-31,33.6,$3.08,10.91
2011-07-31,33.08,$3.02,10.95
2011-04-30,31.2,$2.88,10.83
2011-01-31,26.88,$2.75,9.77
2010-10-31,25.02,$2.48,10.09
2010-07-31,21.95,$2.33,9.42
2010-04-30,26.54,$2.15,12.34
2010-01-31,22.08,$2.00,11.04
2009-10-31,20.22,$1.54,13.13
