B Riley Financial PE Ratio Historical Data,B Riley Financial PE Ratio Historical Data,B Riley Financial PE Ratio Historical Data,B Riley Financial PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,4.27,,0.0
2024-09-30,5.25,$-27.77,0.0
2024-06-30,17.64,$-20.91,0.0
2024-03-31,20.83,$-5.01,0.0
2023-12-31,20.22,$-2.79,0.0
2023-09-30,37.75,$-2.55,0.0
2023-06-30,41.52,$1.51,27.5
2023-03-31,24.89,$-5.11,0.0
2022-12-31,29.18,$-6.05,0.0
2022-09-30,37.15,$-1.89,0.0
2022-06-30,34.64,$-1.73,0.0
2022-03-31,56.17,$5.92,9.49
2021-12-31,70.2,$15.16,4.63
2021-09-30,44.33,$19.63,2.26
2021-06-30,55.03,$19.69,2.79
2021-03-31,39.46,$20.18,1.96
2020-12-31,29.16,$7.54,3.87
2020-09-30,16.32,$1.58,10.33
2020-06-30,13.99,$1.04,13.45
2020-03-31,11.69,$-1.21,0.0
2019-12-31,15.66,$2.92,5.36
2019-09-30,14.36,$1.99,7.22
2019-06-30,12.38,$0.88,14.06
2019-03-31,9.77,$0.70,13.95
2018-12-31,8.27,$0.57,14.51
2018-09-30,13.08,$0.68,19.23
2018-06-30,12.84,$0.59,21.76
2018-03-31,11.04,$0.10,110.37
2017-12-31,10.16,$0.64,15.88
2017-09-30,9.51,$1.51,6.3
2017-06-30,10.26,$1.97,5.21
2017-03-31,8.2,$1.81,4.53
2016-12-31,9.92,$1.11,8.94
2016-09-30,7.08,$0.41,17.27
2016-06-30,5.06,$0.03,168.75
