Genius Sports PE Ratio Historical Data,Genius Sports PE Ratio Historical Data,Genius Sports PE Ratio Historical Data,Genius Sports PE Ratio Historical Data
Date,Stock Price,TTM Net EPS,PE Ratio
2025-03-20,10.05,,0.0
2024-12-31,8.65,$-0.27,0.0
2024-09-30,7.84,$-0.32,0.0
2024-06-30,5.45,$-0.43,0.0
2024-03-31,5.71,$-0.39,0.0
2023-12-31,6.18,$-0.40,0.0
2023-09-30,5.33,$-0.86,0.0
2023-06-30,6.19,$-0.84,0.0
2023-03-31,4.98,$-0.81,0.0
2022-12-31,3.57,$-0.90,0.0
2022-09-30,3.67,$-0.55,0.0
2022-06-30,2.25,$-0.88,0.0
2022-03-31,4.6,$-3.94,0.0
